"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "42.4" "57" "2" " 3. kerület, Dévai Bíró Mátyás tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "északnyugat" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "250" "110" "4" " 2. kerület, Bem rakpart " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "nincs megadva" "kelet" "panorámás" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"3" "250" "127" "3" " 5. kerület, Egyetem tér " "felújított" "2023" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "dél" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"4" "44" "82" "3" " 7. kerület, Cserhát utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "30 000 Ft/hó" NA
"5" "22.99" "44" "1" " 10. kerület, Kobánya-Városközpont " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" NA "utca, közterület - ingyenes" "35 000 Ft/hó" NA
"6" "32.9" "65" "2" " 20. kerület, Kossuth Lajos utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "35 000 Ft/hó" NA
"7" "109.9" "131" "5" " 14. kerület, Alsórákos " "felújított" "2001-2010 között" "luxus" "A+" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "délkelet" "kertre nézo" "8 m²" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA
"8" "86.5" "92" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "külön és egyben is" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"9" "190" "80" "3" " 6. kerület, Belso-Terézváros " "felújított" "2001-2010 között" "luxus" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "fan-coil, padlófutés" "van" "igen" "külön és egyben is" "nincs megadva" "udvari" "20 m²" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA
"10" "29.8" "44" "1" " 15. kerület, Illyés Gyula utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
