"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "parkolohely_ara" "panelprogram" "rezsikoltseg"
"1" "13.7" "21" "1" " 13. kerület, Kassák Lajos utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "99.99" "104" "3" " 12. kerület, Dániel út " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" NA "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nincs megadva" "önálló garázs - megvásárolható" "11 m²" "5 M Ft" NA NA
"3" "15.4" "27" "1" " 13. kerület, Csángó utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "56.9" "83" "3" " 3. kerület, Zápor utca 10. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"5" "29.9" "49" "2" " 3. kerület, Szolo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "részt vett" NA
"6" "99" "107" "4" " 3. kerület, Remetehegy " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "15 m²" NA NA NA
"7" "88.5" "96" "3" " 13. kerület, Tátra utca " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "nincs megadva" "5" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" NA NA NA
"8" "63.4" "65" "2" " 11. kerület, Bartók Béla út " "felújított" NA "összkomfortos" "nincs megadva" "5" "6" "van" "nincs megadva" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "5 m²" NA NA NA
"9" "31.9" "33" "1" " 7. kerület, Dembinszky utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "54" "66" "2" " 2. kerület, Kis Rókus utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "7" "van" "3 m vagy magasabb" "cserépkályha" "nincs" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
