"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "53" "121" "3" " 10. kerület, Ligettelek " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "29.5" "55" "2" " 9. kerület, József Attila-lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "4 m²" NA NA NA NA
"3" "49.9" "60" "2" " 13. kerület, Taksony utca " "újszeru" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" "5 m²" NA NA NA NA
"4" "63.9" "71" "2" " 12. kerület, Tartsay Vilmos utca " "felújított" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA NA NA
"5" "20.9" "37" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" NA "nincs" "25 000 Ft/hó" NA NA
"6" "22.4" "43" "1" " 20. kerület, Erzsébetfalva " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "4 m²" NA NA NA NA
"7" "73.9" "84" "4" " 14. kerület, Alsórákos " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2020" "8 m²" NA NA "3.7 M Ft" NA
"8" "65" "52" "2" " 6. kerület, Ó utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "2001-2010 között" NA NA NA NA NA
"9" "83" "96" "2" " 8. kerület, József körút " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs" NA NA NA
"10" "28.2" "53" "2" " 19. kerület, Lehel utca " "felújított" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" "3 m²" "van" NA NA "nincs megadva"
