"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg"
"1" "29.5" "49" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" "van" "igen" "nincs megadva" "kelet" "nincs megadva" "49 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"2" "58.9" "87" "2" " 6. kerület, Podmaniczky utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor), elektromos" NA "nem" "nincs megadva" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "21 000 Ft/hó"
"3" "48.9" "74" "2" " 11. kerület, Törökugrató utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nem" "nincs megadva" "délnyugat" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA
"4" "97.7" "108" "4" " 11. kerület, Zenta utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA
"5" "69.9" "85" "3" " 7. kerület, Barát utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"6" "29.9" "31" "1" " 12. kerület, Ráth György utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" NA
"7" "26.99" "46" "1" " 14. kerület, Alsórákos – Füredi utcai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA
"8" "37.5" "46" "1" " 7. kerület, Rottenbiller utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "20 000 Ft/hó"
"9" "33.5" "64" "3" " 10. kerület, Kobánya-Városközpont " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" NA NA "utca, közterület - ingyenes" "13 000 Ft/hó"
"10" "68.9" "93" "3" " 9. kerület, Ráday utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"11" "23.7" "27" "1" " 7. kerület, Dohány utca 77. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "10 000 Ft/hó"
"12" "87.9" "93" "3" " 2. kerület, Frankel Leó út " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA
"13" "31.99" "59" "3" " 11. kerület, Fehérvári út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "11 000 Ft/hó"
"14" "55" "57" "1" " 12. kerület, Álom utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "van" "nem" "külön helyiségben" "nincs megadva" "panorámás" "6 m²" "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" NA
"15" "53.9" "53" "1" " 12. kerület, Apor Vilmos tér " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"16" "25.6" "46" "1" " 14. kerület, Rákosfalva " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA
"17" "29.9" "59" "2" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA
"18" "58" "70" "2" " 2. kerület, Zivatar utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"19" "60" "56" "3" " 11. kerület, Korösy József utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" NA "utca, közterület" NA
"20" "68.9" "59" "2" " 7. kerület, Kis Diófa utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "elektromos" "nincs" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" NA
