"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "85" "103" "3" " 12. kerület, Krisztinaváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "63.9" "74" "3" " 2. kerület, Frankel Leó út 74-76 " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA
"3" "59.9" "76" "3" " 5. kerület, Belváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"4" "29.8" "64" "2" " 21. kerület, Erdosor utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²" NA NA NA
"5" "176" "100" "3" " 1. kerület, Tabán " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "délkelet" "utcai" "nem" "nincs megadva" "utca, közterület" NA "nincs" NA NA
"6" "39.9" "52" "2" " 11. kerület, Gazdagrét " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA
"7" "30.9" "50" "2" " 14. kerület, Nagyzugló " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "30 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "4 m²" NA "nincs megadva" NA
"8" "34.9" "64" "2" " 15. kerület, Pestújhely " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "önálló garázs - benne van az árban" "8 m²" NA NA NA
"9" "159" "133" "4" " 5. kerület, Olimpia park " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "házközponti" NA "nem" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2 m²" "van" NA NA
"10" "73.5" "102" "3" " 2. kerület, Lipthay utca " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"11" "27.9" "53" "2" " 19. kerület, Pannónia út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nyugat" "utcai" "igen" "nem tetotéri" "udvari beálló" NA "nincs" NA NA
"12" "39" "75" "3" " 16. kerület, Összefogás sétány " "közepes állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs" "nincs megadva" "nincs megadva" NA "nem" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "nincs" "részt vett" NA
"13" "65.9" "71" "2" " 13. kerület, Gyöngyház utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA
"14" "510" "300" "6" " 5. kerület, Semmelweis utca 9. " "felújított" NA "luxus" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "6 m²" "van" NA NA
"15" "48.9" "58" "2" " 8. kerület, Századosnegyed " "újszeru" "2013" "duplakomfortos" "AA++" "3" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "25 000 Ft/hó" "igen" "egy helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "10 m²" "van" NA "4 M Ft"
"16" "44.9" "85" "2" " 11. kerület, Nagyszolos utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "10 m²" NA NA NA
"17" "95" "110" "4" " 11. kerület, Sasadi út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "önálló garázs - benne van az árban" "8 m²" "nincs" NA NA
"18" "28.9" "50" "2" " 22. kerület, Budatétény – Rózsakert utcai lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"19" "56.9" "78" "3" " 11. kerület, Kelenföld " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" NA NA NA
"20" "149" "146" "5" " 2. kerület, Trombitás út " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "30 000 Ft/hó" "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely" "7 m²" "van" NA NA
