"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "erkely" "lakopark_neve" "parkolohely_ara"
"1" "48" "50" "2" " 1. kerület, Pauler utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "észak" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"2" "31.6" "31" "1" " 6. kerület, Podmaniczky utca " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "egy helyiségben" "északnyugat" "utcai" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" "nincs" NA NA NA NA NA
"3" "28.4" "53" "3" " 15. kerület, Nádastó park " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA NA NA
"4" "61.9" "57" "2" " 6. kerület, Bajcsy-Zsilinszky út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "30 000 Ft/hó" NA NA NA
"5" "38.5" "53" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA NA NA NA
"6" "28.5" "51" "2" " 15. kerület, Törökszegfu tér " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor), elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA NA
"7" "21.9" "26" "1" " 7. kerület, Peterdy utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"8" "25.9" "30" "1" " 11. kerület, Eromu utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"9" "34.9" "64" "3" " 8. kerület, Losonci tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA "4.5 m²" NA NA
"10" "36.9" "42" "2" " 9. kerület, Ülloi út 61. " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA NA NA NA
"11" "39.9" "51" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA NA NA NA
"12" "66.2" "67" "3" " 10. kerület, KOÉR KÖZ II. ÜTEM " "új építésu" "2021" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "délnyugat" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA "34.1 m²" "KOÉR KÖZ II. ÜTEM" "3.6 M Ft"
"13" "42" "57" "2" " 12. kerület, Városmajor utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA "3 m²" NA NA
"14" "36.9" "47" "2" " 8. kerület, Dugonics utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "2 m²" NA NA
"15" "35" "78" "3" " 8. kerület, Kálvária tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"16" "63.9" "75" "2" " 6. kerület, Jókai utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA NA
"17" "37.9" "71" "2" " 4. kerület, Nyár utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA "4 m²" NA NA
"18" "26.7" "26" "1" " 12. kerület, Maros utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"19" "37.5" "60" "2" " 13. kerület, Vizafogó " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "24 000 Ft/hó" NA NA NA
"20" "28.2" "52" "1" " 4. kerület, Baross utca " "újszeru" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA "30 000 Ft/hó" NA NA NA
