"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara"
"1" "49.14" "49" "2" " 9. kerület, M37 Green Home " "M37 Green Home" "új építésu" "2019" "összkomfortos" "nincs megadva" "nincs megadva" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "6 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "4.5 M Ft"
"2" "46.78" "52" "2" " 11. kerület, Kelenliget Ház " "Kelenliget Ház" "új építésu" "2019" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "kelet" "nincs megadva" "4.38 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA
"3" "48.69" "52" "2" " 11. kerület, Kelenliget Ház " "Kelenliget Ház" "új építésu" "2019" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "dél" "nincs megadva" "4.06 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA
"4" "41.65" "42" "1" " 13. kerület, Dagály Park 2. ütem " "Dagály Park 2. ütem" "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA
"5" "44.74" "43" "1" " 13. kerület, Dagály Park 2. ütem " "Dagály Park 2. ütem" "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10.09 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA
"6" "41.65" "47" "2" " 9. kerület, Haller 11 A Lakópark " "Haller 11 A Lakópark" "új építésu" "2020" "összkomfortos" "AA" "4" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, megújuló energia" "van" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "2.12 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA
"7" "61.45" "68" "2" " 9. kerület, Haller 11 A Lakópark " "Haller 11 A Lakópark" "új építésu" "2021" "összkomfortos" "AA" "5" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, megújuló energia" "van" "igen" "külön helyiségben" "észak" "kertre nézo" "6.36 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA
"8" "32" "41" "1" " 2. kerület, Huvösvölgy " NA "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "3 m²" "igen" "nincs megadva" "nincs megadva" NA
"9" "46.36" "44" "2" " 4. kerület, Julianus Ház 2. " "Julianus Ház 2." "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "délnyugat" "utcai" "14.1 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "3.5 M Ft"
"10" "63.51" "56" "2" " 13. kerület, Pannónia Ház " "Pannónia Ház" "új építésu" "2019" "nincs megadva" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "észak" "nincs megadva" "5.28 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA
"11" "38.8" "68" "2" " 8. kerület, Koris utca 25. " NA "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "külön és egyben is" "nincs megadva" "udvari" "9 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"12" "48.4" "56" "2" " 8. kerület, T3 Green Home - lakások a város szívében " "T3 Green Home - lakások a város szívében" "új építésu" "2019" "összkomfortos" "AA++" "1" "7" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "igen" "egy helyiségben" "nincs megadva" "udvari" "3.29 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft"
"13" "69.9" "84" "4" " 4. kerület, Homoktövis utca " NA "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "7 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA
"14" "49.9" "61" "3" " 9. kerület, Pápay Park " "Pápay Park" "új építésu" "2020" "összkomfortos" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "fan-coil, hoszivattyú" "van" "nincs megadva" "külön és egyben is" "északnyugat" "udvari" "6.24 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft"
"15" "48.05" "44" "2" " 11. kerület, Terrace Residence 4 by Cordia " "Terrace Residence 4 by Cordia" "új építésu" "2021" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" "9 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2.5 M Ft"
"16" "68.36" "65" "3" " 9. kerület, M37 Green Home " "M37 Green Home" "új építésu" "2019" "összkomfortos" "nincs megadva" "nincs megadva" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "16.3 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "4.5 M Ft"
"17" "66.71" "56" "2" " 13. kerület, Pannónia Ház " "Pannónia Ház" "új építésu" "2019" "nincs megadva" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "dél" "nincs megadva" "5.52 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA
"18" "35.7" "32" "1" " 13. kerület, Harmony Terrace " "Harmony Terrace" "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" NA "igen" "egy helyiségben" "dél" "kertre nézo" "7.61 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft"
"19" "45.72" "51" "2" " 13. kerület, Dagály Park 2. ütem " "Dagály Park 2. ütem" "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8.4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA
"20" "47.85" "49" "2" " 13. kerület, Dagály Park 1. ütem " "Dagály Park 1. ütem" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "egy helyiségben" "dél" "panorámás" "4 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.3 M Ft"
