"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "27.99" "30" "1" " 13. kerület, Újlipótváros " "felújított" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"2" "30.9" "25" "1" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "igen" "nincs megadva" "nincs megadva" "1950 elott" "5 m²" NA NA NA NA
"3" "169.99" "120" "5" " 6. kerület, Hajós utca " "újszeru" "duplakomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "penthouse" "nincs megadva" "2018" "31 m²" "van" NA NA NA
"4" "66.43" "58" "1" " 7. kerület, Erzsébet körút " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA "nincs" NA NA NA
"5" "123.9" "133" "3" " 6. kerület, Belso-Terézváros " "újszeru" "nincs megadva" "nincs megadva" "5" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" "nincs megadva" "2019" "66 m²" NA NA NA NA
"6" "29.8" "63" "2" " 21. kerület, Bánya utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "4 m²" "nincs" "30 000 Ft/hó" "nem vett részt" NA
"7" "24.5" "22" "1" " 13. kerület, Visegrádi utca " "felújított" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "1950-1980 között" NA "van" NA NA NA
"8" "92.15" "100" "4" " 11. kerület, Beléndek utca " "nincs megadva" "összkomfortos" "AA+" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nem" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" "27.32 m²" "van" NA NA "2.5 M Ft"
"9" "164.14" "179" "5" " 11. kerület, Beléndek utca " "nincs megadva" "duplakomfortos" "AA+" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "2019" "62 m²" "van" NA NA "2.5 M Ft"
"10" "49.9" "44" "2" " 2. kerület, Tárogató út " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "1950 elott" NA NA NA NA NA
