"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "62.9" "88" "3" " 14. kerület, Istvánmezo " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "15.9" "29" "1" " 14. kerület, Alsórákos " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"3" "44.9" "56" "2" " 3. kerület, Csillaghegy – Rókahegy " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
"4" "47.9" "76" "3" " 9. kerület, Berzenczey utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "35 000 Ft/hó" NA NA NA
"5" "21" "34" "1" " 9. kerület, Külso-Ferencváros " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló" "van" NA NA NA NA
"6" "23.9" "59" "2" " 21. kerület, Csepel-Belváros " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" "nem vett részt" NA NA
"7" "23.99" "45" "2" " 15. kerület, Rákos út 98. " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA "8 m²" NA
"8" "24.9" "35" "1" " 13. kerület, Fiastyúk utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"9" "24.9" "33" "1" " 14. kerület, Kiszugló " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
"10" "240" "200" "5" " 12. kerület, Kútvölgy " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "van" NA NA "60 m²" NA
"11" "38.5" "74" "3" " 8. kerület, Vajda Péter utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA NA NA
"12" "37.9" "39" "1" " 2. kerület, Vérhalom " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" NA NA NA "12 m²" NA
