"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"1" "62.9" "79" "3" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "41.9" "63" "2" " 19. kerület, Ady Endre út " "újszeru" "2016" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"3" "49.99" "82" "3" " 13. kerület, Váci út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "42.9" "53" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA NA "igen" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "60 m²" NA NA
"5" "27.7" "52" "2" " 4. kerület, Nyár utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "20 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "5 m²" "nem vett részt" NA
"6" "28.9" "55" "2" " 15. kerület, Újpalota " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA
"7" "49.9" "102" "3" " 8. kerület, Bérkocsis utca " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "21 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"8" "269" "233" "3" " 12. kerület, Orbánhegy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "49 m²" NA NA
"9" "228.55" "128" "3" " 6. kerület, Andrássy út 68. " "újszeru" "2001-2010 között" "luxus" "A" "2" "3" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "18 460 €"
"10" "47.8" "49" "2" " 14. kerület, Istvánmezei út " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3 m²" NA "3 M Ft"
