"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "71.3" "52" "1" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "hoszivattyú" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "39 m²" "igen" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA
"2" "42" "59" "3" " 4. kerület, Jármutelep utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA NA NA
"3" "49.9" "64" "2" " 8. kerület, Kálvária tér " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti" NA "nem" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"4" "89.9" "103" "4" " 9. kerület, Lónyay utca 41. " "felújított" NA "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "28 000 Ft/hó" NA NA
"5" "138" "111" "4" " 6. kerület, Zichy Jeno utca " "felújított" "1950 elott" "luxus" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" "van" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "47 000 Ft/hó" NA NA
"6" "31.9" "39" "1" " 8. kerület, Bródy Sándor utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "29.5" "41" "2" " 7. kerület, Bethlen Gábor utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "28.9" "50" "2" " 8. kerület, Práter utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"9" "38.8" "65" "3" " 11. kerület, Albert utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"10" "224.5" "150" "5" " 13. kerület, Westend Ház " "új építésu" "2019" "duplakomfortos" "AA" "10" "több mint 10" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, padlófutés" "van" "igen" "külön és egyben is" "délnyugat" "panorámás" "31.2 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "Westend Ház" "7 M Ft"
