"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "legkondicionalo" "panelprogram"
"1" "139" "100" "2" " 5. kerület, Kossuth Lajos tér " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "35 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "94.5" "91" "3" " 13. kerület, Angyalföld " "nincs megadva" "összkomfortos" "nincs megadva" "6" "6" "van" "nincs megadva" "hoszivattyú" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2020" "29.13 m²" NA NA
"3" "64.9" "88" "3" " 7. kerület, Dob utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "gáz (cirko), padlófutés" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "69.9" "74" "2" " 7. kerület, Kertész utca " "felújított" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "38 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "40.9" "43" "2" " 6. kerület, Izabella utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "128" "120" "3" " 6. kerület, Teréz körút " "felújított" "duplakomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "92" "101" "3" " 5. kerület, Bajcsy-Zsilinszky út " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "25 000 Ft/hó" "nem" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "2 m²" "van" NA
"8" "29.5" "49" "1" " 12. kerület, Diós árok " "felújítandó" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs megadva" "3 m-nél alacsonyabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"9" "39.8" "40" "1" " 13. kerület, Újlipótváros " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"10" "48.5" "78" "2" " 16. kerület, Cinkota " "jó állapotú" "duplakomfortos" "B" "földszint" "3" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "kertre nézo" "igen" "nincs megadva" "utca, közterület" "2001-2010 között" NA NA NA
"11" "86" "105" "3" " 1. kerület, Attila út " "közepes állapotú" "nincs megadva" "nincs megadva" "1" "4" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
