"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "95" "95" "4" " 12. kerület, Virányos " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "33.9" "63" "2" " 18. kerület, Széchenyi István utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" NA "utca, közterület - ingyenes" "1981-2000 között" NA NA NA NA
"3" "62" "69" "3" " 9. kerület, Középso-Ferencváros " "nincs megadva" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "28 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" "4.8 M Ft" NA NA NA
"4" "24.5" "27" "1" " 6. kerület, Külso-Terézváros " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"5" "18.2" "33" "1" " 19. kerület, Rákóczi utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "külön helyiségben" "délnyugat" "kertre nézo" NA "igen" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "nincs" "15 000 Ft/hó" NA
"6" "32.9" "50" "1" " 11. kerület, Ormezoi lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA "nincs megadva"
"7" "32" "65" "3" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA "nincs megadva"
"8" "32.5" "50" "2" " 22. kerület, Baross Gábor-telep " "felújított" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "panorámás" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA "nincs" "7 000 Ft/hó" "nem vett részt"
"9" "32.9" "66" "2" " 8. kerület, Illés utca " "jó állapotú" "komfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA "20 000 Ft/hó" NA
"10" "39.9" "77" "2" " 7. kerület, Szinva utca " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
"11" "195" "119" "3" " 5. kerület, Hold utca " "felújított" "luxus" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nyugat" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA "nincs" "36 000 Ft/hó" NA
"12" "25.99" "51" "2" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" NA NA NA "részt vett"
"13" "39.9" "30" "1" " 8. kerület, Corvin sétány " "nincs megadva" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" "2019" NA "van" "25 000 Ft/hó" NA
"14" "36" "53" "2" " 3. kerület, Óbuda-Óváros " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "panorámás" "4 m²" "nem" NA "udvari beálló - bérelheto" "1981-2000 között" NA NA NA NA
