"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg"
"1" "140.8" "110" "3" " 3. kerület, Emod utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "54.35" "58" "2" " 3. kerület, Óbuda-Óváros " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nyugat" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA
"3" "25.99" "44" "1" " 13. kerület, Váci út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"4" "22.1" "25" "1" " 3. kerület, Óbuda-Óváros " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA
"5" "99" "127" "4" " 7. kerület, Nagy Diófa utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "10 m²" "nem" "zárószint" "utca, közterület" NA NA
"6" "54.5" "53" "2" " 7. kerület, Rózsa utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "teremgarázs hely" NA NA
"7" "63.4" "78" "2" " 8. kerület, Ülloi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "170" "95" "2" " 5. kerület, Lipótváros " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "padlófutés" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"9" "75.9" "118" "4" " 7. kerület, Jósika utca " "jó állapotú" NA "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"10" "42.8" "42" "1" " 7. kerület, Erzsébet körút " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"11" "57.8" "50" "1" " 7. kerület, Akácfa utca " "felújított" NA "luxus" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "van" NA
"12" "47.3" "44" "2" " 7. kerület, Rózsa utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "igen" "nem tetotéri" "utca, közterület" NA NA
"13" "37.5" "43" "1" " 7. kerület, Jósika utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"14" "51.57" "59" "2" " 13. kerület, Reitter Ferenc utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "kelet" "utcai" "25 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "nincs" NA
"15" "21.5" "24" "1" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"16" "79.9" "147" "5" " 9. kerület, Középso-Ferencváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"17" "89.9" "95" "3" " 2. kerület, Víziváros " "felújított" NA "nincs megadva" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "40 000 Ft/hó"
"18" "165" "90" "2" " 1. kerület, Bem rakpart " "felújított" NA "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA
"19" "160" "148" "3" " 2. kerület, Margit körút 5. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északkelet" "panorámás" "10 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "25 000 Ft/hó"
"20" "76.7" "78" "3" " 7. kerület, Bethlen Gábor utca " "felújított" NA "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "nincs" NA
