"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "100" "400" "16" " 11. kerület, Kruspér utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "109" "83" "2" " 13. kerület, Szent István park " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "van" "6.5 m²" NA NA NA
"3" "59" "67" "2" " 13. kerület, Pap Károly utca " "újszeru" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely" "2001-2010 között" "nincs" "7 m²" NA NA NA
"4" "99.99" "156" "5" " 3. kerület, Mátyáshegy " "jó állapotú" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "1950 elott" "van" "11 m²" NA NA NA
"5" "59.9" "73" "3" " 9. kerület, Vágóhíd utca " "nincs megadva" "összkomfortos" "nincs megadva" "5" "9" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2019" "nincs" "20 m²" NA NA NA
"6" "51.9" "87" "3" " 14. kerület, Jávorka Ádám utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "tetotéri" "teremgarázs hely - bérelheto" "2001-2010 között" "nincs" NA "40 000 Ft/hó" "20 000 Ft/hó" NA
"7" "67" "94" "3" " 6. kerület, Szív utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA NA
"8" "57.9" "85" "3" " 3. kerület, Orbán Balázs út " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" "4 m²" NA NA "nem vett részt"
"9" "57.7" "63" "2" " 13. kerület, Rozsnyai utca 20. " "újszeru" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "2013" "van" "102 m²" NA "3 M Ft" NA
"10" "25.99" "54" "2" " 20. kerület, Tátra tér " "jó állapotú" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA NA
"11" "66" "61" "2" " 5. kerület, Belváros " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"12" "45.5" "61" "2" " 7. kerület, Dob utca " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"13" "24" "35" "1" " 18. kerület, Reviczky Gyula utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" NA NA NA "nincs megadva"
"14" "23.5" "44" "1" " 18. kerület, Lakatos-lakótelep " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" NA "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA NA NA NA
"15" "69.9" "73" "2" " 11. kerület, Sasad " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA "6 m²" NA NA NA
"16" "25" "26" "1" " 7. kerület, Hernád utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
