"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "erkely"
"1" "20.99" "51" "2" " 21. kerület, Ady Endre út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs" "igen" "külön helyiségben" "kelet" "udvari" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"2" "49.9" "45" "2" " 5. kerület, Váci utca 84. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA
"3" "23.5" "46" "1" " 21. kerület, Csepel – Ady Endre úti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "egy helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "35 000 Ft/hó" "nem vett részt" NA
"4" "20" "40" "2" " 13. kerület, Fáy utca " "közepes állapotú" NA "komfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egyéb" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" NA NA NA
"5" "79.9" "115" "4" " 9. kerület, Ráday utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "egyéb" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA "1 m²"
"6" "37.99" "73" "3" " 18. kerület, Krepuska Géza-telep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nem" "nincs megadva" "délnyugat" "udvari" "nem" NA "utca, közterület" NA NA NA
"7" "24.2" "45" "1" " 18. kerület, Lakatos-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "30 000 Ft/hó" NA NA
"8" "74.9" "82" "2" " 13. kerület, Szent István park " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "28.5" "53" "2" " 18. kerület, Havanna utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA
"10" "28.1" "48" "2" " 18. kerület, Örs utca " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
