"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "76.8" "83" "2" " 1. kerület, Krisztinaváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "65" "76" "3" " 3. kerület, Remetehegy " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "12 m²" NA NA NA
"3" "84" "100" "4" " 1. kerület, Krisztinaváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "25 600 Ft/hó" NA NA
"4" "119.5" "152" "4" " 2. kerület, Csévi utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA "nincs" NA
"5" "121.95" "109" "3" " 6. kerület, Lendvay utca " "újszeru" "2017" "összkomfortos" "nincs megadva" "3" "3" "van" "nincs megadva" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "nincs megadva" "nem" "tetotéri" "utca, közterület - fizetos övezet" "5 m²" "45 000 Ft/hó" "van" NA
"6" "41.1" "44" "2" " 6. kerület, Nagymezo utca 37. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "egy helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "20 000 Ft/hó" "nincs" NA
"7" "24.5" "57" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "11 000 Ft/hó" NA "nem vett részt"
"8" "62.9" "77" "3" " 12. kerület, Alkotás utca " "felújított" NA "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "28.9" "38" "1" " 11. kerület, Csóka utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA "20 000 Ft/hó" NA NA
"10" "42.9" "47" "2" " 12. kerület, Orbánhegy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "6 m²" "12 000 Ft/hó" NA NA
