"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "21.9" "38" "1" " 20. kerület, Kossuth Lajos utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"2" "54.9" "65" "3" " 6. kerület, Podmaniczky utca " "felújított" "nincs megadva" "nincs megadva" "2" "6" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"3" "54.9" "75" "3" " 14. kerület, Alsórákos " "újszeru" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "2019" NA NA NA NA NA NA
"4" "89.5" "119" "3" " 2. kerület, Víziváros " "jó állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "7 m²" NA NA NA NA
"5" "21.5" "24" "1" " 8. kerület, Karácsony Sándor utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA NA
"6" "50" "72" "2" " 13. kerület, Dráva utca " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" "van" "8 m²" "nincs megadva" NA NA NA
"7" "85.3" "78" "3" " 6. kerület, Zichy Jeno utca " "újszeru" "luxus" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "2019" "van" "24.54 m²" NA NA NA NA
"8" "97.5" "119" "4" " 6. kerület, Jókai tér " "felújított" "duplakomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA "van" "5 m²" NA NA NA NA
"9" "47.9" "73" "3" " 8. kerület, Kisfaludy utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "nincs" NA NA "36 000 Ft/hó" NA NA
"10" "69.9" "69" "2" " 6. kerület, Zichy Jeno utca " "újszeru" "luxus" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "2019" "van" "10.11 m²" NA NA NA NA
