"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "22" "35" "1" " 21. kerület, Csepel-Erdoalja " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" NA NA NA NA
"2" "26.5" "31" "1" " 8. kerület, Mátyás tér " "jó állapotú" "komfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"3" "49" "55" "2" " 11. kerület, Karinthy Frigyes út " "felújítandó" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"4" "59.9" "60" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "udvari" "igen" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"5" "18.9" "42" "2" " 9. kerület, Gyáli út " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "nincs megadva" "1950-1980 között" "van" NA NA
"6" "74.99" "78" "3" " 6. kerület, Lovag utca " "újszeru" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "2019" NA NA NA
"7" "25.8" "38" "1" " 9. kerület, Ecseri út " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
"8" "13.9" "23" "1" " 13. kerület, Szabolcs köz " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület" "1950-1980 között" "nincs" NA NA
"9" "76.9" "98" "3" " 12. kerület, Thomán István utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "kertre nézo" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "nincs" "12 m²" NA
"10" "33.9" "34" "1" " 11. kerület, Szentimreváros " "felújított" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950-1980 között" "nincs" NA NA
