"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "panelprogram"
"1" "24.99" "54" "2" " 20. kerület, Vízisport utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "20 000 Ft/hó" "nem" "nincs megadva" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "105" "161" "6" " 11. kerület, Fadrusz utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló" "11 m²" NA NA
"3" "44.9" "81" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "35.9" "62" "2" " 13. kerület, Szent László út 141. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "cserépkályha, elektromos" NA "nem" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA
"5" "26.6" "54" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "zárószint" "utca, közterület" "3 m²" "nincs" "nem vett részt"
"6" "93.48" "100" "3" " 13. kerület, Katona József utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön és egyben is" "észak" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "199" "197" "5" " 12. kerület, Svábhegy " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön helyiségben" "északkelet" "panorámás" "igen" "zárószint" "teremgarázs hely" "67 m²" "van" NA
"8" "27.8" "34" "1" " 13. kerület, Angyalföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA
"9" "21.9" "44" "1" " 19. kerület, Mészáros Lorinc utca " "közepes állapotú" NA "komfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló" NA NA NA
"10" "26.49" "32" "1" " 13. kerület, Tahi utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "nincs megadva" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA
