"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "rezsikoltseg" "panelprogram" "erkely"
"1" "44.9" "60" "3" " 20. kerület, Gubacsipuszta " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2.5 M Ft" NA NA NA NA
"2" "25.9" "50" "2" " 15. kerület, Kontyfa utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" "40 000 Ft/hó" "nem vett részt" NA
"3" "69.9" "82" "3" " 19. kerület, Kós Károly tér " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"4" "66.9" "89" "3" " 1. kerület, Gellérthegy " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA "10 m²"
"5" "29.9" "50" "1" " 13. kerület, Váci út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "5" "8" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" NA "utca, közterület" NA NA NA NA "4 m²"
"6" "159.8" "73" "3" " 5. kerület, Lipótváros " "jó állapotú" NA "luxus" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "43 000 Ft/hó" NA "2 m²"
"7" "146.7" "95" "4" " 11. kerület, Hosszúrét " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "hoszivattyú" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "65.6 m²"
"8" "84.18" "70" "2" " 3. kerület, Kaszásdulo – Filatorigát " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA "30.44 m²"
"9" "30.5" "53" "2" " 4. kerület, Erzsébet utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "nincs megadva" "4 m²"
"10" "66.99" "89" "3" " 13. kerület, Szent István körút " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA NA
