"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "70" "92" "3" " 7. kerület, Kertész utca " "jó állapotú" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "54.9" "58" "2" " 9. kerület, Thaly Kálmán utca 27-29 " "nincs megadva" "duplakomfortos" "AA++" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "17 m²" "nem" "nincs megadva" "nincs megadva" "2019" "van" "20 000 Ft/hó" NA NA
"3" "64.5" "81" "3" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "duplakomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "2001-2010 között" "van" NA NA NA
"4" "22.8" "35" "1" " 15. kerület, Drégelyvár utca " "felújítandó" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "nincs" NA "nem vett részt" NA
"5" "57.9" "69" "2" " 2. kerület, Frankel Leó út " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "délnyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" NA NA NA NA
"6" "28.9" "54" "2" " 21. kerület, Csepel – Ady Endre úti lakótelep " "felújított" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "1981-2000 között" "van" "25 000 Ft/hó" "nem vett részt" NA
"7" "27.9" "51" "2" " 3. kerület, Víziorgona utca " "felújítandó" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "4 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nincs megadva" NA
"8" "109" "120" "3" " 13. kerület, Szent István körút " "felújított" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "van" NA NA NA
"9" "66.9" "89" "3" " 1. kerület, Gellérthegy " "jó állapotú" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "van" NA NA NA
"10" "31.5" "63" "2" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "felújított" "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1981-2000 között" NA NA "nincs megadva" NA
"11" "75" "96" "3" " 3. kerület, Táborhegy " "nincs megadva" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "nincs megadva" "nyugat" "panorámás" "8 m²" "nem" "tetotéri" "önálló garázs - megvásárolható" "2015" NA NA NA NA
"12" "29.9" "46" "2" " 10. kerület, Gyárduloi lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "egyéb" "nem" "nincs megadva" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA NA NA NA
"13" "56.9" "89" "3" " 7. kerület, Izabella utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA
