"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram"
"1" "115" "85" "3" " 5. kerület, Belgrád rakpart " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "30 000 Ft/hó" "nincs megadva" "külön és egyben is" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"2" "71.9" "45" "2" " 8. kerület, Corvin sétány " "újszeru" "2014" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "északkelet" "kertre nézo" "nem" "nem tetotéri" "nincs megadva" "nincs" "10 m²" NA
"3" "24.5" "42" "1" " 10. kerület, Gyárduloi lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" NA NA
"4" "13.99" "21" "1" " 4. kerület, Újpest " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "11 000 Ft/hó" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA
"5" "21.49" "33" "1" " 13. kerület, Tar utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "igen" "nincs megadva" "utca, közterület" NA NA NA
"6" "32.9" "54" "2" " 9. kerület, Csengettyu utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nem" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "4 m²" NA
"7" "28.5" "55" "2" " 14. kerület, Angol utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"8" "49.5" "80" "3.5" " 3. kerület, Silvanus sétány " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "4 m²" "nincs megadva"
"9" "49.9" "71" "2" " 20. kerület, Vízisport utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" "8 m²" NA
"10" "139.9" "110" "3" " 5. kerület, Bajcsy-Zsilinszky út " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "35.9" "71" "3" " 14. kerület, Csáktornya park " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "8 m²" "nincs megadva"
"12" "19.5" "37" "1" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "25 000 Ft/hó" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" NA NA
"13" "49" "100" "3" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nem" "külön és egyben is" "délnyugat" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA
"14" "20.49" "29" "1" " 13. kerület, Tar utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "igen" "nincs megadva" "utca, közterület" NA NA NA
"15" "29.5" "51" "2" " 3. kerület, Hatvany Lajos utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA "nincs megadva"
