"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "parkolohely_ara" "rezsikoltseg"
"1" "35.9" "68" "3" " 3. kerület, Szello utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "149.9" "175" "4" " 12. kerület, Széll Kálmán tér " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "van" NA NA
"3" "129.9" "160" "4" " 2. kerület, Nyúl utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "egy helyiségben" "délnyugat" "utcai" "8 m²" "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"4" "39.5" "58" "2" " 7. kerület, Király utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "északnyugat" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA
"5" "26.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "nem vett részt" "nincs megadva" NA NA NA
"6" "19.5" "35" "1" " 18. kerület, Havanna-lakótelep " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"7" "24.9" "64" "3" " 8. kerület, Losonci tér " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "részt vett" "utca, közterület" NA NA NA
"8" "70" "48" "2" " 13. kerület, Angyalföldi út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "dél" "kertre nézo" "5 m²" "igen" "nincs megadva" NA "teremgarázs hely - megvásárolható" "van" "4 M Ft" NA
"9" "22" "55" "2" " 21. kerület, Kozmosz sétány 1. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "11 000 Ft/hó"
"10" "74.9" "82" "2" " 13. kerület, Szent István park " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"11" "79.9" "139" "3" " 6. kerület, Dessewffy utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "van" NA NA
"12" "44.9" "41" "1" " 12. kerület, Galgóczy utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "8 m²" "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA "35 000 Ft/hó"
"13" "20.9" "46" "1" " 18. kerület, Bókaytelep " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" "nincs" NA NA
"14" "53.9" "84" "2" " 7. kerület, Rottenbiller utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" NA NA NA
"15" "42.5" "51" "2" " 13. kerület, Petneházy utca " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"16" "27.9" "59" "2" " 21. kerület, Csepel-Belváros " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "van" NA "45 000 Ft/hó"
"17" "49.9" "101" "4" " 8. kerület, Déri Miksa utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
