"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely"
"1" "23.9" "30" "1" " 18. kerület, Tölgy utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"2" "32.9" "40" "1" " 14. kerület, Gervay utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" "7 m²"
"3" "22.5" "23" "1" " 14. kerület, Besnyoi utca " "nincs megadva" "2019" "összkomfortos" "CC" "földszint" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület - ingyenes" NA
"4" "31.9" "35" "2" " 13. kerület, Göncöl utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA
"5" "31.9" "53" "2" " 14. kerület, Xantus utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA
"6" "96.5" "104" "3" " 12. kerület, Németvölgy " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA
"7" "38.99" "45" "2" " 12. kerület, Hajnóczy József utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA
"8" "165" "90" "3" " 1. kerület, Bem rakpart " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA
"9" "39.99" "43" "2" " 11. kerület, Szentimreváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "van" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "5 m²"
"10" "24.5" "31" "1" " 14. kerület, Czobor utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" "igen" "nincs megadva" "utca, közterület - ingyenes" NA
"11" "79.9" "100" "3" " 7. kerület, Damjanich utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"12" "50" "71" "3" " 8. kerület, Ülloi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA
"13" "43" "69" "2" " 14. kerület, Szonyi út " "felújított" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" NA "önálló garázs - benne van az árban" "4.3 m²"
"14" "81" "110" "3" " 22. kerület, Baross Gábor-telep " "újszeru" "2001-2010 között" "összkomfortos" "AA" "1" "2" "van" "3 m-nél alacsonyabb" "házközponti" NA "igen" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "8 m²"
"15" "34" "39" "2" " 7. kerület, Thököly út " "felújított" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "fan-coil" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"16" "69.85" "78" "2" " 5. kerület, Belváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" NA "igen" "külön helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA
"17" "160" "157" "4" " 11. kerület, Móricz Zsigmond körtér " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" "3 m²"
"18" "41.9" "54" "2" " 13. kerület, Szent László út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "nyugat" "kertre nézo" "nem" "tetotéri" "utca, közterület" NA
"19" "39.9" "50" "2" " 16. kerület, Rákosszentmihály " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "15 m²"
"20" "23.9" "28" "1" " 7. kerület, Cserhát utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA
