"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "59" "103" "4" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "46.7" "61" "1" " 14. kerület, Stefánia út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "4 m²" NA NA NA
"3" "72.5" "78" "4" " 13. kerület, Hajdú utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "3 m²" NA NA NA
"4" "33.99" "63" "3" " 4. kerület, Káposztásmegyer I. lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés" "van" "igen" "külön helyiségben" "északkelet" "kertre nézo" "nem" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "45 000 Ft/hó" "nem vett részt" NA
"5" "61.5" "65" "2" " 4. kerület, Újpest – Juharliget lakópark " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA NA
"6" "25" "35" "1" " 4. kerület, Újpesti lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"7" "37.25" "60" "3" " 15. kerület, Illyés Gyula utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "gáz (cirko)" "nincs" "igen" "egy helyiségben" "északnyugat" "udvari" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "41 000 Ft/hó" NA "2.5 M Ft"
"8" "37" "71" "2" " 4. kerület, Újpest " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"9" "26.99" "25" "1" " 13. kerület, Újlipótváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "észak" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "24 000 Ft/hó" NA NA
"10" "31.75" "50" "2" " 15. kerület, Szentmihályi út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs" "igen" "külön helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "10 m²" "40 000 Ft/hó" NA NA
"11" "32" "58" "2" " 4. kerület, Kordován tér " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "3 m²" "50 000 Ft/hó" "nem vett részt" NA
"12" "47.5" "70" "3" " 15. kerület, Fo út " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gázkazán" "van" "igen" "külön helyiségben" "északkelet" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" "16 m²" NA NA NA
"13" "25.9" "42" "1" " 14. kerület, Benko utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "35 000 Ft/hó" NA NA
"14" "28.9" "48" "2" " 19. kerület, Batthyány utca " "újszeru" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor), padlófutés" "van" "igen" "külön helyiségben" "északkelet" "udvari" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "35 000 Ft/hó" NA NA
"15" "34.8" "25" "2" " 6. kerület, Hunyadi tér " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "északkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "24.9" "32" "1" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"17" "25.9" "36" "1" " 11. kerület, Kelenföld " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"18" "25.2" "40" "1" " 15. kerület, Rákospalota " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "79" "73" "3" " 15. kerület, Palotás utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti" NA "igen" "külön és egyben is" "dél" "panorámás" "nincs megadva" "penthouse" "teremgarázs hely - benne van az árban" "54 m²" NA NA NA
"20" "59.9" "78" "2" " 13. kerület, Újlipótváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA
