"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "41.5" "9" "2" " 13. kerület, Angyalföld " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "43 m²" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "39" "40" "1" " 2. kerület, Margit körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nem" "külön helyiségben" "kelet" "kertre nézo" "20 m²" "nem" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "69" "73" "2" " 2. kerület, Cimbalom utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "délkelet" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "30 000 Ft/hó" NA NA NA
"4" "260.4" "210" "5" " 12. kerület, Béla király út " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "panorámás" NA "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "nincs" "10 M Ft" NA
"5" "38.5" "69" "3" " 3. kerület, Kiscelli utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés" "igen" "külön helyiségben" "délkelet" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva"
"6" "28.9" "31" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "32.9" "69" "2" " 22. kerület, Leányka utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" NA "nincs megadva" NA NA NA NA
"8" "32.4" "42" "2" " 14. kerület, Herminamezo " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" NA NA
"9" "108.9" "93" "2" " 5. kerület, Belváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"10" "84" "110" "6" " 5. kerület, Váci utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
