"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "25.8" "41" "2" " 13. kerület, Szent László út " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "23.99" "39" "2" " 10. kerület, Zágrábi utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "53" "41" "1" " 6. kerület, Hajós utca " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "24.9" "53" "2" " 15. kerület, Újpalota " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "részt vett" NA NA NA
"5" "24.99" "51" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "kelet" "utcai" "nem" NA "utca, közterület - ingyenes" "nincs" NA "4 m²" NA NA
"6" "62.9" "85" "3" " 8. kerület, József körút " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"7" "26" "42" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "5 m²" NA NA
"8" "29.9" "51" "3" " 17. kerület, Rákoskert – Szárazhegy " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "részt vett" NA NA NA
"9" "17.9" "28" "1" " 4. kerület, Újpest " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "elektromos" "igen" "egy helyiségben" "nyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA NA NA NA
"10" "29.49" "55" "1" " 8. kerület, Tömo utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" NA "nincs megadva" NA NA "8 m²" NA NA
"11" "106" "75" "2" " 1. kerület, Úri utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "észak" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5.21 m²" NA NA
"12" "29.5" "36" "1" " 13. kerület, Angyalföld " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "7.57 m²" NA NA
