"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "26.9" "34" "1" " 18. kerület, Gulner Gyula utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" NA NA NA NA
"2" "27.9" "50" "2" " 3. kerület, Óbuda-Óváros " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "64.9" "71" "3" " 6. kerület, Izabella utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "8.1 m²" NA NA
"4" "54.9" "63" "2" " 3. kerület, Óbuda-Óváros " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "35.9" "66" "3" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA
"6" "19.5" "36" "1" " 4. kerület, Újpest-Kertváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "31.9" "45" "1" " 7. kerület, Külso-Erzsébetváros " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"8" "23" "55" "2" " 14. kerület, Bosnyák tér " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" NA "nincs megadva" "egy helyiségben" "kelet" "udvari" "igen" "nem tetotéri" "udvari beálló" NA NA NA NA
"9" "28.2" "49" "2" " 3. kerület, Óbudai lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA
"10" "29.5" "52" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "nincs megadva" "távfutés" NA "igen" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" "4 m²" NA NA
