"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram"
"1" "56.6" "62" "2" " 9. kerület, Balázs Béla utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "29.89" "64" "3" " 17. kerület, Pesti út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön helyiségben" "nyugat" "panorámás" "8 m²" "nem" NA "utca, közterület - ingyenes" "nincs" "30 000 Ft/hó" NA
"3" "49.9" "50" "2" " 7. kerület, Murányi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "északkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"4" "47.9" "80" "3" " 8. kerület, Mosonyi utca " "befejezetlen" NA "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos, gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "nincs megadva" NA NA NA
"5" "41.99" "91" "3" " 8. kerület, Kerepesi út " "közepes állapotú" NA "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "24.99" "53" "2" " 18. kerület, Havanna utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "nem vett részt"
"7" "29" "55" "2" " 15. kerület, Újpalota " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"8" "25.4" "26" "1" " 7. kerület, Rejto Jeno utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" NA "nem" "nincs megadva" "nincs megadva" NA NA NA
"9" "57.9" "90" "2" " 13. kerület, Visegrádi utca 4. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" "nincs" NA NA
"10" "149.9" "112" "2" " 5. kerület, Ferenciek tere 2. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület" "van" NA NA
"11" "77.3" "88" "3" " 7. kerület, Akácfa utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "49.9" "54" "1" " 5. kerület, Falk Miksa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"13" "33" "65" "3" " 3. kerület, Óbudai lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "4.5 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva"
"14" "28.9" "36" "1" " 14. kerület, Szugló utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "igen" "egy helyiségben" "dél" "udvari" "30 m²" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "van" "22 000 Ft/hó" NA
"15" "58.2" "91" "3" " 18. kerület, Ganz-kertváros " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "57 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"16" "36.9" "42" "1" " 8. kerület, Orczy út " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "34.9" "32" "1" " 11. kerület, Kondorosi út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "9 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"18" "254.8" "321" "7.5" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "van" NA NA
"19" "32" "71" "2" " 4. kerület, Berda József utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"20" "27.89" "54" "2" " 4. kerület, Rózsa utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
