"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "24.99" "63" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés" "nincs" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"2" "110" "85" "2.5" " 8. kerület, Józsefváros – Csarnoknegyed " "újszeru" "2019" "duplakomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "nem" "zárószint" NA "utca, közterület - fizetos övezet" "3 m²" NA NA
"3" "55" "90" "3" " 13. kerület, Árbóc utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön és egyben is" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA
"4" "27.9" "53" "2" " 4. kerület, Erzsébet utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "délkelet" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "4 m²" NA NA
"5" "54.9" "87" "3" " 11. kerület, Lágymányosi utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA "35 000 Ft/hó" NA
"6" "58.99" "66" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "6" "7" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" "3 m²" "14 200 Ft/hó" NA
"7" "64.99" "75" "3" " 2. kerület, Víziváros " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület" "5 m²" NA NA
"8" "32.9" "40" "1" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"9" "24.5" "31" "1" " 7. kerület, Izabella utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA
"10" "85" "113" "3" " 11. kerület, Bartók Béla út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "igen" "egy helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "3 m²" NA NA
