"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "rezsikoltseg" "panelprogram"
"1" "22.8" "54" "2" " 21. kerület, Csepel-Háros – Vízmuvek-lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"2" "62.9" "85" "2" " 7. kerület, Almássy tér " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" NA "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA NA
"3" "154.9" "147" "5" " 5. kerület, Báthory utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA
"4" "116.84" "87" "3" " 1. kerület, Lánchíd utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"5" "64.5" "81" "3" " 13. kerület, Csángó utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "dél" "utcai" NA "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA NA
"6" "49.99" "120" "4" " 10. kerület, Gergely utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "udvari beálló - benne van az árban" "tetotéri" NA NA
"7" "33" "43" "1" " 7. kerület, Barát utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "házközponti" "nincs" "nem" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "49.9" "76" "2" " 13. kerület, Szabolcs utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"9" "42.9" "66" "3" " 3. kerület, Óbuda-Óváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "utca, közterület" "nem tetotéri" "12 000 Ft/hó" "részt vett"
"10" "165" "150" "4" " 13. kerület, Jászai Mari tér " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"11" "67.5" "64" "2" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "északnyugat" "kertre nézo" "18 m²" "igen" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA
"12" "8.9" "25" "1" " 21. kerület, Csepel-Gyártelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "nincs megadva" "nincs" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "utca, közterület - ingyenes" "nem tetotéri" NA NA
"13" "101.32" "149" "3" " 17. kerület, Óvóno utca " "jó állapotú" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"14" "90.5" "117" "3" " 16. kerület, Csillag utca " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "egyéb" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "23 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"15" "30.9" "55" "2" " 16. kerület, Futórózsa utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"16" "68.9" "93" "3" " 9. kerület, Ráday utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "északnyugat" "kertre nézo" NA "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" NA NA
"17" "26.5" "36" "1" " 14. kerület, Alsórákos " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"18" "57.9" "65" "2" " 6. kerület, Szív utca " "nincs megadva" "2013" "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"19" "38" "52" "2" " 6. kerület, Podmaniczky utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs" "nem" "külön helyiségben" "nyugat" "panorámás" NA "nem" "utca, közterület - fizetos övezet" "nem tetotéri" NA NA
"20" "22.8" "27" "1" " 14. kerület, Alsórákos " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA
