"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg"
"1" "25.9" "54" "2" " 4. kerület, Lebstück Mária utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "nem vett részt" "nincs megadva" NA NA
"2" "29.5" "53" "2" " 14. kerület, Bolgárkertész utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"3" "24.3" "49" "2" " 17. kerület, Kaszáló utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "3" "4" "nincs" "nincs megadva" "távfutés" "nem" "külön helyiségben" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "nincs" "35 000 Ft/hó"
"4" "45.9" "52" "2" " 14. kerület, Dorozsmai utca 203. " "újszeru" "2017" "összkomfortos" "nincs megadva" "földszint" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs" NA
"5" "114.99" "104" "3" " 12. kerület, Virányos " "jó állapotú" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "kertre nézo" "2 m²" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" NA NA
"6" "124.9" "150" "4" " 3. kerület, Kossuth Lajos üdülopart " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "32 m²" "igen" "nem tetotéri" NA "önálló garázs - benne van az árban" NA NA
"7" "36.5" "62" "3" " 14. kerület, Szentmihályi út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA
"8" "27.7" "52" "2" " 3. kerület, Óbudai lakótelep " "nincs megadva" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön és egyben is" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA
"9" "73" "94" "4" " 8. kerület, Józsefváros – Csarnoknegyed " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"10" "29.5" "52" "2" " 3. kerület, Óbudai lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület" "van" NA
