"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "58.9" "101" "4" " 11. kerület, Daróczi út " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "41.9" "54" "2" " 11. kerület, Ulászló utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "kertre nézo" "4.5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
"3" "39.9" "82" "2" " 7. kerület, Szinva utca " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"4" "37.5" "42" "1" " 12. kerület, Gébics utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "igen" "egy helyiségben" "kelet" "kertre nézo" NA "igen" "nem tetotéri" "nincs megadva" NA "nincs" NA NA
"5" "52" "47" "1" " 6. kerület, Teréz körút " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"6" "36.9" "43" "1" " 11. kerület, Gyékényes utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "kertre nézo" "3.5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
"7" "29.9" "30" "1" " 11. kerület, Szerémi sor " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
"8" "75.9" "60" "3" " 7. kerület, Károly körút " "felújított" "összkomfortos" "nincs megadva" "8" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA
"9" "41.9" "76" "2" " 7. kerület, Rákóczi út " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" "nincs" NA NA
"10" "45" "80" "3" " 3. kerület, Hévízi út " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA
"11" "74.5" "88" "2" " 7. kerület, Dohány utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "dél" "utcai" "2.6 m²" "nincs megadva" "nincs megadva" "utca, közterület" "1950 elott" "van" NA NA
"12" "28.8" "29" "1" " 8. kerület, Mátyás tér " "nincs megadva" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "panorámás" NA "nincs megadva" "nem tetotéri" "utca, közterület" "2013" NA NA NA
"13" "34.8" "62" "2" " 19. kerület, Dobó Katica utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA "nincs megadva" NA
"14" "42.9" "54" "2" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA NA
"15" "23.9" "27" "1" " 9. kerület, Mester utca " "jó állapotú" "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
