"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "rezsikoltseg"
"1" "34.9" "74" "3" " 17. kerület, Rákoskeresztúr – Színes házak " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"2" "56" "56" "1" " 6. kerület, Nagymezo utca " "nincs megadva" "összkomfortos" "nincs megadva" "1" "8" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" NA NA NA
"3" "19" "54" "2" " 23. kerület, Soroksár " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950-1980 között" NA NA
"4" "53.41" "60" "2" " 14. kerület, Stefánia út 75. " "felújítandó" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "tetotéri" NA "udvari beálló - benne van az árban" "2001-2010 között" "46.3 m²" NA
"5" "45.9" "64" "2" " 8. kerület, Kálvária tér " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "9 m²" NA
"6" "104.9" "86" "3" " 6. kerület, Belso-Terézváros " "újszeru" "duplakomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950 elott" "4 m²" NA
"7" "275" "257" "3" " 2. kerület, Országút " "jó állapotú" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "1950-1980 között" "47 m²" NA
"8" "31.9" "67" "3" " 11. kerület, Albert utca " "közepes állapotú" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés, távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "1950-1980 között" "4.5 m²" "35 000 Ft/hó"
"9" "73.9" "77" "3" " 5. kerület, Falk Miksa utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA
"10" "38.4" "38" "1" " 3. kerület, Óbuda-Óváros " "nincs megadva" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" NA "önálló garázs - megvásárolható" "2019" "4 m²" NA
"11" "36.4" "74" "2" " 4. kerület, Újpest-Központ " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"12" "28.49" "45" "1" " 18. kerület, Krepuska Géza-telep " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva" "2001-2010 között" NA NA
"13" "97.3" "99" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "5 m²" NA
"14" "77.3" "88" "3" " 7. kerület, Belso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" "2 m²" NA
