"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "epites_eve" "rezsikoltseg" "panelprogram" "legkondicionalo"
"1" "59.9" "118" "4" " 18. kerület, Bókaytelep " "nincs megadva" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "9 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "4.5 M Ft" NA NA NA NA
"2" "58.9" "77" "2" " 7. kerület, Hernád utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "42" "68" "3" " 10. kerület, Gyakorló utca 4. " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1981-2000 között" "15 000 Ft/hó" "részt vett" NA
"4" "22.5" "52" "1" " 20. kerület, Hosszú utca " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"5" "123.6" "148" "4" " 11. kerület, Neszmélyi út " "újszeru" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "panorámás" "107 m²" "nincs megadva" "penthouse" "teremgarázs hely" NA "2011" "14 000 Ft/hó" NA NA
"6" "43" "43" "3" " 8. kerület, József utca " "nincs megadva" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "kertre nézo" "32 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "2019" NA NA NA
"7" "36.3" "71" "3" " 15. kerület, Nyírpalota út " "jó állapotú" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950-1980 között" NA "nincs megadva" NA
"8" "109" "112" "3" " 1. kerület, Iskola utca " "felújított" "duplakomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "10 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "1950 elott" NA NA NA
"9" "52.9" "94" "5" " 20. kerület, Pacsirtatelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (cirko), hoszivattyú" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nem tetotéri" "nincs megadva" NA "2019" NA NA NA
"10" "52.9" "94" "5" " 20. kerület, Pacsirtatelep " "nincs megadva" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko), hoszivattyú" "nem" "külön helyiségben" "nincs megadva" "udvari" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "2019" NA NA NA
