"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram"
"1" "29.9" "34" "1" " 10. kerület, Zágrábi köz " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"2" "109" "113" "3" " 1. kerület, Víziváros – Váralja " "nincs megadva" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"3" "110" "69" "1" " 13. kerület, Újlipótváros " "felújított" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "távfutés" "nem" "külön helyiségben" "észak" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" "11 000 Ft/hó" "2 m²" NA
"4" "38.5" "57" "2" " 13. kerület, Dunyov István utca " "felújított" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1981-2000 között" NA NA NA "nincs megadva"
"5" "59.9" "92" "4" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújítandó" "komfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "1950 elott" NA "15 000 Ft/hó" "3 m²" NA
"6" "31.5" "53" "2" " 4. kerület, Deák Ferenc utca " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs" NA "3 m²" "nem vett részt"
"7" "54.99" "64" "2" " 6. kerület, Szondi utca " "közepes állapotú" "komfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA NA
"8" "32.8" "60" "2" " 4. kerület, Lakkozó utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "14 000 Ft/hó" NA "nincs megadva"
"9" "195" "190" "4" " 7. kerület, Belso-Erzsébetváros " "felújítandó" "duplakomfortos" "nincs megadva" "nincs megadva" "8" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "4 m²" NA
"10" "215" "206" "3" " 2. kerület, Vérhalom " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA NA
