"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "epites_eve" "erkely" "tetoter" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "46.2" "54" "2" " 2. kerület, Törökvész " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "önálló garázs" NA NA NA NA NA NA NA
"2" "159" "138" "4" " 5. kerület, Balassi Bálint utca " "felújított" "duplakomfortos" "nincs megadva" "3" "5" "nincs megadva" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "1950 elott" "2 m²" "nincs megadva" NA NA NA NA
"3" "33" "53" "2" " 4. kerület, Újpesti lakótelep " "felújított" "nincs megadva" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" NA NA NA
"4" "23" "54" "2" " 10. kerület, Harmat utca " "felújítandó" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "1950-1980 között" "3 m²" "nem tetotéri" "nincs megadva" NA NA NA
"5" "39.5" "68" "3" " 3. kerület, Óbudai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "utca, közterület" "1950-1980 között" NA "nem tetotéri" "nincs megadva" NA NA NA
"6" "65" "94" "5" " 8. kerület, Gyulai Pál utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA NA NA
"7" "34.9" "45" "1" " 11. kerület, Nándorfejérvári út " "felújítandó" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "panorámás" "nem" "utca, közterület - ingyenes" "1981-2000 között" "5.5 m²" "nem tetotéri" NA "nincs" "25 000 Ft/hó" NA
"8" "39.1" "48" "2" " 11. kerület, Kelenföld " "újszeru" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "igen" "utca, közterület - fizetos övezet" "1950 elott" NA "nem tetotéri" NA NA "18 000 Ft/hó" NA
"9" "55" "78" "3" " 11. kerület, Budaörsi út " "felújítandó" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "1950 elott" NA "nem tetotéri" NA "nincs" NA NA
"10" "46.9" "91" "2" " 22. kerület, Jegenye utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" "22 m²" "nem tetotéri" NA NA NA NA
"11" "52.9" "63" "3" " 14. kerület, Ilosvai Selymes utca " "újszeru" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "udvari beálló - kötelezo megvenni" "2001-2010 között" "4 m²" "nem tetotéri" NA "van" NA "1 M Ft"
