"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "28.9" "51" "2" " 3. kerület, Hadrianus utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA NA NA NA
"2" "35.9" "44" "2" " 14. kerület, Kiszugló " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"3" "73.5" "113" "3" " 8. kerület, Kisfaludy utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "cserépkályha" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "2.5 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"4" "26.9" "49" "2" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" NA NA "utca, közterület - ingyenes" "1981-2000 között" NA NA NA
"5" "39.9" "72" "2" " 7. kerület, Vörösmarty utca " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északnyugat" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"6" "72" "87" "3" " 6. kerület, Belso-Terézváros " "közepes állapotú" "komfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" "17 000 Ft/hó" NA
"7" "48.9" "74" "3" " 2. kerület, Fillér utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA NA NA
"8" "69.9" "117" "3" " 11. kerület, Sashegy " "újszeru" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "3 m²" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA
"9" "56.5" "66" "3" " 8. kerület, Ciprus utca " "újszeru" "luxus" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "külön helyiségben" "dél" "kertre nézo" "10 m²" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - megvásárolható" NA "van" NA "2.3 M Ft"
"10" "72.5" "102" "4" " 14. kerület, Herminamezo " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" NA "önálló garázs - kötelezo megvenni" NA "van" NA "2.5 M Ft"
"11" "30.1" "70" "3" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "40" "44" "2" " 13. kerület, Jászai Mari tér " "jó állapotú" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "6 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA NA NA
"13" "57.2" "54" "2" " 12. kerület, Krisztinaváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északnyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA NA NA
"14" "42.9" "66" "3" " 3. kerület, Óbuda-Óváros " "jó állapotú" "összkomfortos" "CC" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nem" "nem tetotéri" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA NA
"15" "149.9" "116" "5" " 2. kerület, Víziváros " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "nincs megadva" NA "nem" "nem tetotéri" NA "nincs megadva" NA NA NA NA
