"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "erkely" "legkondicionalo"
"1" "23.9" "75" "2" " 4. kerület, Kossuth utca " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "igen" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "21.5" "35" "1" " 15. kerület, Nyírpalota út 93. " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "9 000 Ft/hó" "nincs megadva" NA NA
"3" "29.9" "50" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" "4 m²" NA
"4" "44.9" "75" "3" " 14. kerület, Adria sétány " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"5" "51" "59" "2" " 8. kerület, Tömo utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "nincs megadva" "nem" "nem tetotéri" "utca, közterület" "30 000 Ft/hó" NA "2 m²" NA
"6" "32.5" "49" "2" " 3. kerület, Óbudai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA "részt vett" "4 m²" NA
"7" "38.9" "68" "3" " 22. kerület, Leányka utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" "4 m²" NA
"8" "28.5" "34" "1" " 13. kerület, Kis Gömb utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "20 000 Ft/hó" NA "3 m²" NA
"9" "28.8" "54" "2" " 4. kerület, Szigeti József utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA
"10" "92.5" "96" "3" " 13. kerület, Újlipótváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "távfutés egyedi méréssel" "nincs megadva" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "12 m²" "nincs"
"11" "74.9" "92" "2" " 9. kerület, Ráday utca 43. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "45 000 Ft/hó" NA "5 m²" "van"
"12" "36.9" "71" "2" " 4. kerület, Lebstück Mária utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA NA
"13" "25.9" "54" "2" " 17. kerület, Kaszáló utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "30 000 Ft/hó" "nem vett részt" "3 m²" "van"
"14" "95" "114" "2" " 5. kerület, Lipótváros " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "kelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"15" "23.9" "27" "1" " 13. kerület, Szent László út " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva" NA NA
"16" "30.9" "40" "1" " 8. kerület, Szeszgyár utca 6-8 " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "21 000 Ft/hó" NA NA NA
