"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "erkely"
"1" "20.9" "32" "1" " 13. kerület, Forgách utca 32. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "37" "60" "2" " 4. kerület, Munkásotthon utca " "felújított" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "észak" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA
"3" "32.5" "62" "3" " 15. kerület, Rákospalota " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nyugat" "kertre nézo" "nem" "tetotéri" "udvari beálló - benne van az árban" NA "22 000 Ft/hó" NA
"4" "26.5" "46" "1" " 14. kerület, Szentmihályi út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" NA NA
"5" "76.9" "81" "2" " 2. kerület, Felhévíz " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "42.5" "78" "4" " 3. kerület, Óbudai lakótelep " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nem tetotéri" "utca, közterület" "nincs megadva" NA "4 m²"
"7" "30.9" "53" "1" " 7. kerület, Damjanich utca " "felújítandó" NA "összkomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "83" "67" "3" " 5. kerület, Lipótváros " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "házközponti" "van" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4 m²"
"9" "22.8" "28" "1" " 14. kerület, Alsórákos – Egressy téri lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "önálló garázs - bérelheto" NA NA NA
"10" "24.9" "30" "1" " 3. kerület, Tímár utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "nincs megadva" NA NA NA
"11" "75" "85" "2" " 14. kerület, Cházár András utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "4" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3 m²"
"12" "27.9" "67" "2" " 20. kerület, Lajtha László utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" NA "utca, közterület - ingyenes" NA NA "3 m²"
"13" "37.9" "39" "1" " 6. kerület, Külso-Terézváros " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"14" "37.9" "40" "2" " 14. kerület, Szugló utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nem" "nincs megadva" "teremgarázs hely - bérelheto" NA NA "7 m²"
"15" "36.5" "50" "2" " 11. kerület, Mérnök utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" NA NA
