"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "65" "84" "2" " 2. kerület, Országút " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "1 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "40" "53" "2" " 13. kerület, Újlipótváros – Rómaikert " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "33.49" "49" "2" " 13. kerület, Petneházy utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület" "nem vett részt" "nincs" NA NA NA
"4" "54.9" "46" "1" " 5. kerület, Falk Miksa utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "egyéb kazán" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA
"5" "36" "63" "2" " 11. kerület, Andor utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "dél" "utcai" "6 m²" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA NA NA NA
"6" "57" "71" "2" " 6. kerület, Külso-Terézváros " "nincs megadva" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "48.99" "68" "3" " 4. kerület, Szigeti József utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "dél" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nem vett részt" "van" "11 000 Ft/hó" NA NA
"8" "82.9" "88" "2" " 2. kerület, Kuruclesi út " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"9" "42.5" "51" "2" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA NA
"10" "37.9" "65" "3" " 3. kerület, Óbuda-Óváros " "nincs megadva" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "részt vett" "van" NA NA NA
