"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "lakopark_neve" "parkolohely_ara"
"1" "29" "65" "2" " 15. kerület, Újpalota " "felújítandó" "1981-2000 között" "összkomfortos" "DD" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "30 000 Ft/hó" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "3.5 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA NA
"2" "75" "84" "3" " 11. kerület, Kelenföld " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "utcai" "9 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"3" "89.95" "100" "3" " 3. kerület, Folyondár utca " "jó állapotú" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "40 000 Ft/hó" "nem" "külön helyiségben" "dél" "kertre nézo" "3 m²" "igen" "nem tetotéri" NA "teremgarázs hely - benne van az árban" NA NA
"4" "33.9" "56" "2" " 9. kerület, Mester utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "8" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nem" NA NA "utca, közterület - fizetos övezet" NA NA
"5" "52.9" "63" "2" " 9. kerület, Tinódi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "van" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"6" "24.99" "39" "1" " 9. kerület, Epreserdo utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" NA NA "utca, közterület - ingyenes" NA NA
"7" "98.7" "94" "3" " 1. kerület, Fo utca 12. " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "nincs megadva" "nincs" "22 000 Ft/hó" "nem" "külön és egyben is" "kelet" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA
"8" "29.9" "38" "1" " 11. kerület, Fadrusz utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "cserépkályha" NA NA "nincs megadva" "egy helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"9" "19.6" "37" "1" " 15. kerület, Rákospalota " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "igen" "egy helyiségben" "dél" "kertre nézo" "4 m²" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" NA NA
"10" "38.5" "74" "3" " 8. kerület, Vajda Péter utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "21 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "udvari beálló" NA NA
"11" "67.89" "71" "3" " 1. kerület, Krisztinaváros – Váralja " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
