"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "rezsikoltseg" "parkolohely_ara"
"1" "33.9" "56" "2" " 13. kerület, Róbert Károly körút " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "69.9" "101" "3" " 6. kerület, Nagymezo utca " "felújítandó" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" NA "nincs megadva" "1950 elott" "nincs" "2 m²" NA NA
"3" "39.99" "45" "2" " 12. kerület, Krisztinaváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA NA
"4" "26.5" "59" "2" " 19. kerület, Árpád utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"5" "37.8" "50" "2" " 11. kerület, Kelenföld " "felújítandó" "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "részt vett" "nincs megadva" "1950-1980 között" NA "4 m²" NA NA
"6" "39" "50" "2" " 11. kerület, Halmi utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" NA NA "utca, közterület" "1950-1980 között" NA "4 m²" NA NA
"7" "90" "200" "7" " 15. kerület, Rákospalota " "jó állapotú" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "délkelet" "kertre nézo" "igen" "nem tetotéri" NA "teremgarázs hely - benne van az árban" "1981-2000 között" "van" "8 m²" "45 000 Ft/hó" NA
"8" "45" "94" "3" " 15. kerület, Rákospalota " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" NA "udvari beálló - benne van az árban" "1981-2000 között" "van" "10 m²" "25 000 Ft/hó" NA
"9" "59.9" "67" "2" " 9. kerület, Tompa utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" NA "utca, közterület - fizetos övezet" NA NA "4.5 m²" NA NA
"10" "49.99" "52" "3" " 7. kerület, Kazinczy utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "észak" "udvari" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"11" "74.9" "78" "2" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "újszeru" "összkomfortos" "BB" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), gázkazán" "igen" "külön helyiségben" "délnyugat" "panorámás" "nem" "tetotéri" NA "utca, közterület" "2016" "van" "34 m²" "18 000 Ft/hó" NA
"12" "81.2" "101" "3" " 2. kerület, Margit körút " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA NA NA
"13" "68.85" "85" "3" " 14. kerület, Istvánmezo " "jó állapotú" "nincs megadva" "nincs megadva" "2" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "2001-2010 között" NA "3 m²" NA "3 M Ft"
"14" "31.9" "43" "1" " 9. kerület, Ferenc körút " "felújítandó" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA "17 500 Ft/hó" NA
"15" "59.9" "78" "2" " 8. kerület, Práter utca " "felújított" "duplakomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA "35 000 Ft/hó" NA
