"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "12.9" "30" "1" " 15. kerület, Batthyány utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
"2" "41" "44" "1" " 13. kerület, Jászai Mari tér " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA NA
"3" "44.5" "69" "3" " 7. kerület, Murányi utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "58.5" "43" "2" " 8. kerület, Corvin sétány " "újszeru" "2011" "összkomfortos" "CC" "3" "9" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "5 m²" "15 000 Ft/hó" NA NA NA
"5" "24.5" "35" "1" " 4. kerület, Árpád út " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA NA
"6" "32.4" "55" "2" " 3. kerület, Csillaghegy – Rókahegy " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "igen" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA
"7" "58" "49" "2" " 8. kerület, Corvin sétány " "újszeru" "2019" "összkomfortos" "BB" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "kertre nézo" "nem" "nincs megadva" "nincs megadva" "7 m²" "15 000 Ft/hó" NA "van" NA
"8" "51.8" "99" "4" " 4. kerület, Újpest-Kertváros " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA "25 000 Ft/hó" NA "nincs" NA
"9" "34" "46" "1" " 4. kerület, Rózsa utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "részt vett" "nincs" NA
"10" "42.9" "49" "2" " 13. kerület, Csanády utca " "felújított" NA "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "15 000 Ft/hó" NA "van" NA
