"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "legkondicionalo" "erkely" "tetoter" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "46" "54" "2" " 2. kerület, Rózsadomb " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "panorámás" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "30.7" "29" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "1.6 m²" "nincs megadva" NA NA NA
"3" "28.5" "32" "1" " 11. kerület, Hamzsabégi út " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "nincs megadva" NA NA NA
"4" "64.9" "81" "3" " 13. kerület, Pannónia utca " "nincs megadva" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "utca, közterület" "van" "2 m²" "nincs megadva" NA NA NA
"5" "27.5" "28" "1" " 13. kerület, Csángó utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs megadva" NA NA NA
"6" "85" "98" "3" " 9. kerület, Ráday utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "önálló garázs - benne van az árban" NA NA "nincs megadva" NA NA NA
"7" "66.9" "99" "4" " 11. kerület, Bartók Béla út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "utca, közterület - fizetos övezet" NA "3.5 m²" "nincs megadva" NA NA NA
"8" "43.9" "52" "2" " 12. kerület, Dániel út " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "utca, közterület - ingyenes" NA "5.2 m²" "nincs megadva" NA NA NA
"9" "31.5" "49" "2" " 9. kerület, Epreserdo utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "utca, közterület - ingyenes" "nincs" "4.3 m²" "legfelso emelet, nem tetotéri" NA NA NA
"10" "36.8" "49" "2" " 8. kerület, Sárkány utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "udvari beálló" NA "1.5 m²" "nincs megadva" NA NA NA
