"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "rezsikoltseg" "legkondicionalo"
"1" "124.9" "90" "3" " 5. kerület, Szent István körút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "174.9" "159" "3" " 2. kerület, Detreko utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "12 m²" NA NA NA
"3" "24.89" "30" "1" " 13. kerület, Tar utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"4" "22.9" "44" "1" " 10. kerület, Kápolna utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "7" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"5" "25.9" "44" "1" " 15. kerület, Bartók Béla utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA "16 000 Ft/hó" NA
"6" "39.9" "64" "2" " 14. kerület, Angol utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "65.9" "95" "4" " 6. kerület, Teréz körút " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" "nincs megadva" NA NA NA NA
"8" "49.5" "106" "3" " 10. kerület, Kobánya-Városközpont " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "34.9" "41" "1" " 2. kerület, Szász Károly utca 2. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "33 500 Ft/hó" NA
"10" "140" "178" "5" " 3. kerület, Újlak " "jó állapotú" NA "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "panorámás" "nem" "tetotéri" "utca, közterület" NA NA NA "van"
"11" "48" "53" "2" " 9. kerület, Ferenc körút " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"12" "43.9" "61" "2" " 7. kerület, Király utca 15. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "12 000 Ft/hó" NA
"13" "24.9" "51" "2" " 3. kerület, Hatvany Lajos utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "nincs megadva" NA NA
"14" "27.5" "51" "2" " 3. kerület, Zemplén Gyozo utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" NA "van"
"15" "146.89" "128" "3" " 6. kerület, Külso-Terézváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "18 000 Ft/hó" NA
"16" "21.9" "46" "2" " 21. kerület, Árpád utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"17" "40.9" "45" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló" NA NA "13 000 Ft/hó" NA
"18" "26.3" "51" "2" " 17. kerület, Újlak utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "részt vett" NA NA
"19" "74.9" "82" "2" " 6. kerület, Szív utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "21 200 Ft/hó" NA
"20" "35.9" "58" "2" " 13. kerület, Párkány utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "8" "10" "van" "nincs megadva" "távfutés" "nem" "külön helyiségben" "kelet" "nincs megadva" "nem" "nincs megadva" "utca, közterület" "3 m²" "nem vett részt" NA "nincs"
