"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "41.5" "48" "1" " 11. kerület, Fadrusz utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "15 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"2" "20.49" "27" "1" " 19. kerület, Jókai utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA
"3" "21.7" "30" "1" " 14. kerület, Alsórákos " "felújított" "2019" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA "igen" "nincs megadva" "délnyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "24.4" "36" "1" " 8. kerület, Füvészkert utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "89.9" "110" "4" " 13. kerület, Frangepán utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "nyugat" "panorámás" "80 m²" "nem" "tetotéri" "utca, közterület" NA NA NA
"6" "22.7" "33" "1" " 13. kerület, Dévai utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"7" "26.6" "27" "1" " 14. kerület, Törökor " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "24.9" "52" "2" " 21. kerület, Csepel-Csillagtelep – Rakéta utcai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "14 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA
"9" "44.9" "76" "3" " 9. kerület, Mester utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"10" "82.9" "90" "4" " 12. kerület, Kissvábhegy " "felújítandó" NA "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "11 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"11" "49.7" "51" "2" " 12. kerület, Márvány utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA
"12" "57" "65" "3" " 2. kerület, Zöldmál " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "2 m²" "nincs megadva" NA "nincs megadva" NA NA NA
"13" "24.9" "68" "2" " 10. kerület, Dombteto utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nincs megadva" NA
"14" "44.99" "60" "3" " 20. kerület, Gubacs – Mediterrán lakópark " "újszeru" "2016" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nyugat" "kertre nézo" "15 m²" "igen" "nem tetotéri" "udvari beálló - megvásárolható" "nincs" NA "1.5 M Ft"
"15" "38.5" "47" "1" " 11. kerület, Fehérvári út " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"16" "24.9" "15" "1" " 5. kerület, Hercegprímás utca 11. " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "elektromos, hoszivattyú" "5 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA
"17" "49.9" "62" "2" " 13. kerület, Balzac utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"18" "38.9" "39" "2" " 6. kerület, Izabella utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor)" "20 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA
"19" "39.5" "66" "3" " 3. kerület, Kiscelli utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt" NA
"20" "52.9" "77" "4" " 14. kerület, Alsórákos " "új építésu" "2019" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" NA "nincs megadva" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA NA "3 M Ft"
