"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "790" "814" "25" " 3. kerület, Aquincum " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "60 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "27.7" "51" "3" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" "11 000 Ft/hó" "nincs megadva" NA NA
"3" "52.9" "51" "2" " 3. kerület, Testvérhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "mennyezeti hutés-futés" "igen" "külön helyiségben" "délkelet" "kertre nézo" "7 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "van" "5 M Ft"
"4" "35.9" "46" "3" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" "13 000 Ft/hó" "nincs megadva" NA NA
"5" "63.6" "75" "2" " 8. kerület, Krúdy utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nem" "egy helyiségben" "nyugat" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"6" "65" "84" "3" " 2. kerület, Országút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "11 500 Ft/hó" NA NA NA
"7" "80" "82" "3" " 9. kerület, Vámház körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs" NA
"8" "48.9" "54" "3" " 7. kerület, Rózsa utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön helyiségben" "dél" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs" NA
"9" "34.9" "111" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "20 000 Ft/hó" NA NA NA
"10" "29.9" "64" "3" " 23. kerület, Soroksár-Újtelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
