"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "lakopark_neve" "rezsikoltseg"
"1" "51.9" "81" "4" " 4. kerület, Újpest " "új építésu" "2020" "összkomfortos" "nincs megadva" "2" "2" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "30 m²" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA
"2" "49.9" "68" "2" " 8. kerület, Kálvária utca " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "13.06 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.25 M Ft" NA NA NA
"3" "47.9" "53" "2" " 13. kerület, Pannónia utca " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "külön helyiségben" "nyugat" "utcai" "5.42 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA NA NA
"4" "42" "92" "3" " 14. kerület, Thököly út 150. " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "34.99" "55" "2" " 13. kerület, Angyalföld " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "kertre nézo" "3.5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
"6" "36.5" "46" "2" " 8. kerület, Fecske utca 7. " "új építésu" "2019" "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, hoszivattyú" "igen" "nincs megadva" "nyugat" "kertre nézo" "6.2 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA NA NA
"7" "88.5" "81" "4" " 13. kerület, Harmony Terrace " "új építésu" "2021" "összkomfortos" "nincs megadva" "7" "7" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "külön helyiségben" "kelet" "utcai" "19.8 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" "van" "Harmony Terrace" NA
"8" "70" "99" "3" " 6. kerület, Csengery utca " "felújított" NA "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "72.23" "83" "4" " 13. kerület, Dagály Park 1. ütem " "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "igen" "külön és egyben is" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" "van" "Dagály Park 1. ütem" NA
"10" "32.5" "30" "1" " 9. kerület, Dandár utca 22. " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs" NA NA
