"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "legkondicionalo" "parkolohely_ara" "panelprogram" "lakopark_neve"
"1" "29.9" "35" "1" " 13. kerület, Kresz Géza utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"2" "43.9" "53" "2" " 13. kerület, Forgách köz " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA NA NA
"3" "42" "48" "2" " 13. kerület, Kartács utca 24-26 " "új építésu" "2020" "nincs megadva" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "6 m²" NA NA NA NA NA
"4" "15.9" "30" "1" " 7. kerület, Murányi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" NA NA NA NA
"5" "69.5" "73" "2" " 12. kerület, Diós árok " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "panorámás" "igen" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "14 m²" NA "nincs" "3.5 M Ft" NA NA
"6" "25.7" "50" "1" " 4. kerület, Istvántelki út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "utca, közterület" NA "35 000 Ft/hó" "van" NA NA NA
"7" "25.3" "54" "2" " 4. kerület, Szigeti József utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "4 m²" NA NA NA "nincs megadva" NA
"8" "26" "51" "2" " 8. kerület, Szigony utca 4. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²" NA NA NA NA NA
"9" "46" "61" "3" " 15. kerület, Vasutaskert " "új építésu" "2020" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "kelet" "kertre nézo" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" "4.5 m²" NA "van" "1.6 M Ft" NA "Vasutaskert"
"10" "22.9" "31" "1" " 8. kerület, Kisfaludy utca 22. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1.5 m²" NA "nincs" NA NA NA
"11" "41.6" "65" "2" " 13. kerület, Gyöngyösi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "FF" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "északkelet" "utcai" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "6 m²" NA NA NA NA NA
"12" "21.99" "29" "1" " 10. kerület, Gergely utca 118. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA "részt vett" NA
"13" "35.99" "57" "2" " 15. kerület, Szilas park " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "4 m²" NA NA NA NA NA
"14" "41.9" "50" "3" " 1. kerület, Márvány utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA NA
"15" "76.9" "91" "3" " 1. kerület, Attila út " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "házközponti" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nincs megadva" "utca, közterület" "4 m²" NA "nincs" NA NA NA
"16" "24.5" "52" "2" " 21. kerület, Zrínyi utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA "nincs megadva" NA
"17" "26.77" "38" "1" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "délnyugat" "panorámás" "nem" NA "utca, közterület" NA NA NA NA NA NA
