"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely"
"1" "85" "66" "2" " 5. kerület, Belváros " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "16 000 Ft/hó" "nem" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA
"2" "33.8" "70" "3" " 4. kerület, Újpesti lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA
"3" "26" "64" "2" " 4. kerület, Újpest-Központ " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "egyéb" NA NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"4" "26.4" "51" "2" " 4. kerület, Újpest " "felújítandó" NA "nincs megadva" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "távfutés" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "5 m²"
"5" "26.9" "59" "2" " 21. kerület, Kiss János altábornagy utca " "jó állapotú" "1950-1980 között" "összkomfortos" "CC" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "igen" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "részt vett" NA
"6" "35" "43" "2" " 4. kerület, Újpesti lakótelep " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "2.72 m²"
"7" "23.49" "51" "2" " 17. kerület, Rákoskeresztúri lakótelep " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" NA
"8" "32.8" "67" "2" " 4. kerület, Hajló utca " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "8" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "nem vett részt" "2 m²"
"9" "29.9" "40" "1" " 13. kerület, Angyalföld – Fiastyúk utcai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "nyugat" "udvari" "igen" "nem tetotéri" "utca, közterület" NA NA
"10" "49" "65" "2" " 3. kerület, Vasút sor " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "van" NA "nem" "külön helyiségben" "dél" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" NA "6 m²"
"11" "53.9" "83" "2" " 9. kerület, Angyal utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"12" "29.8" "55" "2" " 15. kerület, Újpalota " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "részt vett" "4 m²"
"13" "36.9" "34" "1" " 3. kerület, Óbuda – Filatorigát " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA
"14" "26.9" "58" "2" " 21. kerület, Csepel-Erdoalja " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nem" "nincs megadva" "délkelet" "udvari" "nem" "nem tetotéri" "utca, közterület" "nincs megadva" "1 m²"
"15" "23.4" "51" "2" " 17. kerület, Rákoskeresztúri lakótelep " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "igen" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" "részt vett" NA
"16" "48.5" "61" "3" " 13. kerület, Újlipótváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" NA NA "nem" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA "4.68 m²"
"17" "41.3" "50" "1" " 7. kerület, István utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"18" "69.9" "63" "2" " 2. kerület, Margit körút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"19" "110" "118" "3" " 14. kerület, Laky Adolf utca " "nincs megadva" "2017" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA "21 m²"
"20" "42.5" "50" "2" " 6. kerület, Aradi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "elektromos" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
