"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "27.35" "27" "1" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "26.9" "45" "2" " 3. kerület, Pacsirtamezo utca 35. " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "19 000 Ft/hó" NA NA NA
"3" "64.9" "100" "2" " 8. kerület, Krúdy utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"4" "16.9" "26" "1" " 14. kerület, Alsórákos " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nyugat" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"5" "27.4" "35" "1" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "4 m²" "nincs megadva" NA
"6" "53" "41" "1" " 6. kerület, Belso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "udvari" "nem" "nem tetotéri" "nincs megadva" "nincs" NA NA NA NA
"7" "36.9" "41" "1" " 9. kerület, Hogyes Endre utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"8" "59.9" "73" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"9" "21.8" "28" "1" " 18. kerület, Dolgozó út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"10" "17.5" "34" "1" " 20. kerület, Erzsébetfalva " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"11" "69.9" "56" "2" " 12. kerület, Istenhegy " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "önálló garázs" "van" NA "4 m²" NA NA
"12" "31.5" "42" "1" " 8. kerület, Népszínház utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "északnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"13" "34.9" "68" "2" " 15. kerület, Páskom park " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA "1 m²" "nem vett részt" NA
"14" "44.8" "57" "2" " 13. kerület, Hegedus Gyula utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "8" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" NA "udvari beálló - bérelheto" NA NA "8 m²" NA "2 000 Ft/hó"
"15" "33.9" "60" "1" " 16. kerület, Mátyásföld – Petofikert " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "egyéb" "nem" "nincs megadva" "délnyugat" "udvari" "nem" "tetotéri" "utca, közterület" NA NA NA NA NA
