"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram"
"1" "29.9" "26" "2" " 5. kerület, Papnövelde utca 8. " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "elektromos" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"2" "108" "215" "7" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA NA
"3" "89.5" "120" "5" " 8. kerület, Kerepesi út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "27.79" "46" "2" " 14. kerület, Füredi utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "8 000 Ft/hó" "részt vett"
"5" "90.86" "88" "5" " 9. kerület, Középso-Ferencváros – Malmok " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "28.7" "46" "2" " 14. kerület, Cserto utca " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "nincs megadva" "van" "igen" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "13 000 Ft/hó" "részt vett"
"7" "22.9" "38" "2" " 14. kerület, Korong utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"8" "11.48" "31" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújítandó" "1950-1980 között" "komfort nélküli" "nincs megadva" "szuterén" "4" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "57.9" "95" "4" " 9. kerület, Középso-Ferencváros – Malmok " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "80.89" "110" "3" " 22. kerület, Budatétény " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "12 m²" NA NA
"11" "20.5" "28" "1" " 18. kerület, Kézmuves utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "29.9" "54" "2" " 4. kerület, Újpest – Pozsonyi utcai lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA "nem vett részt"
"13" "26.1" "54" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "4 m²" NA "részt vett"
"14" "64.9" "91" "2" " 11. kerület, Kelenföld " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" NA NA
"15" "38.9" "50" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
