"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram" "legkondicionalo"
"1" "74.9" "81" "2" " 6. kerület, Paulay Ede utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "36.9" "54" "2" " 14. kerület, Angol utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"3" "18.9" "42" "2" " 9. kerület, Gyáli út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "3" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "észak" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"4" "34.3" "42" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"5" "34.3" "65" "3" " 3. kerület, Flórián tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "9 000 Ft/hó" "4 m²" "nincs megadva" NA
"6" "51.9" "80" "2" " 6. kerület, Külso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "7 m²" NA NA
"7" "57.99" "71" "2" " 5. kerület, Kálmán Imre utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "31.5" "36" "1" " 13. kerület, Béke tér " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"9" "59.9" "101" "3" " 13. kerület, Angyalföld – Loportárdulo " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "73.9" "115" "3" " 8. kerület, Népszínház utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"11" "18.27" "30" "1" " 4. kerület, Újpest-Kertváros " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nem" "nincs megadva" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "utca, közterület" NA "3 m²" NA NA
