"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "64.9" "82" "3" " 6. kerület, Izabella utca " "nincs megadva" "1950 elott" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "utcai" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"2" "43.5" "49" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön helyiségben" "kelet" "utcai" "11.5 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA
"3" "37.6" "43" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "9" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "egy helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA
"4" "31.9" "36" "1" " 13. kerület, Újlipótvárosi lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"5" "29.99" "37" "1" " 13. kerület, Újlipótváros " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "24.9" "51" "2" " 3. kerület, Lukács György utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "nyugat" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva"
"7" "47.4" "57" "2" " 9. kerület, Bokréta utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"8" "21.9" "33" "1" " 8. kerület, Kálvária tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"9" "79.9" "90" "4" " 2. kerület, Víziváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"10" "37.9" "45" "2" " 8. kerület, Baross utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "dél" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
