"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "65" "66" "2" " 13. kerület, Párkány utca " "újszeru" "2001-2010 között" "összkomfortos" "CC" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "16 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "9 m²" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" "3 M Ft" NA
"2" "54.9" "53" "2" " 7. kerület, Rumbach Sebestyén utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"3" "54.9" "53" "2" " 7. kerület, Rumbach Sebestyén utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"4" "39.9" "98" "3" " 15. kerület, Rákospalota " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "délnyugat" "utcai" NA "igen" "nem tetotéri" "utca, közterület" NA NA
"5" "24.9" "46" "1" " 7. kerület, Csengery utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"6" "32.9" "38" "1" " 6. kerület, Rózsa utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "nincs megadva" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"7" "28.9" "30" "1" " 7. kerület, Rákóczi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"8" "99" "124" "3" " 5. kerület, Régi posta utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "5" "van" "3 m-nél alacsonyabb" "egyéb" NA "nem" "nincs megadva" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"9" "27.9" "53" "2" " 4. kerület, Istvántelki út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "nincs megadva" "délnyugat" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület" NA "nincs megadva"
"10" "79.9" "94" "4" " 8. kerület, Tisztviselotelep " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "utcai" NA "nem" "tetotéri" "utca, közterület" NA NA
