"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely"
"1" "25" "36" "1" " 4. kerület, Sárpatak utca " "jó állapotú" "nincs megadva" "nincs megadva" "8" "9" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "21.9" "35" "1" " 15. kerület, Páskomliget utca " "jó állapotú" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"3" "37" "33" "1" " 13. kerület, Angyalföldi út 5. " "újszeru" "luxus" "AA+" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "udvari" "nem" "nincs megadva" NA "nincs megadva" "2001-2010 között" "van" "7 500 Ft/hó" "4 m²"
"4" "38" "72" "2" " 4. kerület, Külso Szilágyi út " "közepes állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "északkelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" "nem vett részt" "utca, közterület" "1981-2000 között" "nincs" NA NA
"5" "25.4" "38" "1" " 10. kerület, Csilla utca 8/b " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "11 261 Ft/hó" NA
"6" "49.9" "51" "2" " 11. kerület, Bocskai út " "felújított" "nincs megadva" "nincs megadva" "2" "6" "van" "nincs megadva" "távfutés" "igen" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950-1980 között" "van" NA "2 m²"
"7" "35.4" "41" "1" " 13. kerület, Csángó utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" NA "utca, közterület" NA "nincs" "25 000 Ft/hó" NA
"8" "69.29" "77" "3" " 6. kerület, Szondi utca 19. " "felújított" "luxus" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "1950-1980 között" NA "12 000 Ft/hó" "3 m²"
"9" "50" "43" "2" " 3. kerület, Nánási út 2. " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "30 000 Ft/hó" NA
"10" "130.9" "137" "6" " 6. kerület, Andrássy út 15. " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA
