"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "37.9" "53" "2" " 14. kerület, Törökor " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "27.2" "39" "1" " 14. kerület, Istvánmezo " "jó állapotú" NA "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "24.9" "55" "1" " 21. kerület, Kossuth Lajos utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "12 m²" "nincs megadva" "nem tetotéri" "udvari beálló" "van" "30 000 Ft/hó" NA NA NA
"4" "23" "40" "1" " 8. kerület, Karácsony Sándor utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"5" "25.9" "59" "3" " 18. kerület, Havanna-lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA NA
"6" "99" "73" "2" " 7. kerület, Erzsébet körút " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "49.9" "74" "2" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"8" "75.3" "67" "3" " 3. kerület, Békásmegyer – Pünkösdfürdo " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "20 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"9" "71.17" "93" "5" " 17. kerület, Furmintházak " "új építésu" "2021" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "93.61 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "van" NA NA "Furmintházak" "2 M Ft"
"10" "87.5" "72" "2" " 7. kerület, Madách Imre út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "6" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
