"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "52.33" "83" "4" " 17. kerület, Furmintházak " "Furmintházak" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" NA
"2" "52.33" "83" "4" " 17. kerület, Furmintházak " "Furmintházak" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" NA
"3" "31.5" "49" "1" " 11. kerület, Kéro utca " NA "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "5 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"4" "52.33" "83" "4" " 17. kerület, Furmintházak " "Furmintházak" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" NA
"5" "52.33" "83" "4" " 17. kerület, Furmintházak " "Furmintházak" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" NA
"6" "52.33" "83" "4" " 17. kerület, Furmintházak " "Furmintházak" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" NA
"7" "29.8" "28" "1" " 11. kerület, Bukarest utca " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"8" "52.33" "83" "4" " 17. kerület, Furmintházak " "Furmintházak" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" NA
"9" "52.33" "83" "4" " 17. kerület, Furmintházak " "Furmintházak" "új építésu" "2021" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6.21 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" "2 M Ft" NA
"10" "270.09" "163" "5" " 6. kerület, Külso-Terézváros " NA "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"11" "47.5" "83" "3.5" " 4. kerület, Megyer – Nagyváradi liget lakópark " NA "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"12" "42.9" "66" "3" " 3. kerület, Lajos utca " NA "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva"
"13" "51.9" "67" "2" " 12. kerület, Táltos utca " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"14" "158.1" "140" "5" " 11. kerület, Sasad Resort Hilltop by Cordia " "Sasad Resort Hilltop by Cordia" "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "74.1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"15" "144.2" "136" "4" " 11. kerület, Sasad Resort Hilltop by Cordia " "Sasad Resort Hilltop by Cordia" "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "50 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"16" "73.9" "91" "3" " 3. kerület, Óbuda-Óváros " NA "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA
"17" "67.4" "61" "3" " 11. kerület, Sasad Resort Hilltop by Cordia " "Sasad Resort Hilltop by Cordia" "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12.1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"18" "26.9" "46" "1" " 11. kerület, Fejér Lipót utca " NA "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" NA "nincs megadva" NA NA
"19" "29.9" "40" "1" " 13. kerület, Fiastyúk utca " NA "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA
"20" "48.7" "43" "2" " 11. kerület, Sasad Resort Hilltop by Cordia " "Sasad Resort Hilltop by Cordia" "új építésu" "2021" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7.4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
