"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "panelprogram" "rezsikoltseg"
"1" "43.8" "59" "2" " 13. kerület, Kádár utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön és egyben is" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "27.5" "72" "2" " 18. kerület, Havanna-lakótelep " "közepes állapotú" "nincs megadva" "nincs megadva" "8" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" "4 m²" "nincs megadva" NA
"3" "59.37" "65" "2" " 5. kerület, Bajcsy-Zsilinszky út " "felújítandó" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "5 m²" NA NA
"4" "28.9" "30" "1" " 9. kerület, Márton utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"5" "85" "95" "3" " 11. kerület, Kruspér utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "3 m²" NA NA
"6" "139" "200" "3" " 2. kerület, Pasarét " "jó állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "20 m²" NA NA
"7" "25.6" "52" "2" " 20. kerület, Tátra tér " "jó állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA "20 000 Ft/hó"
"8" "25.99" "52" "2" " 20. kerület, Tátra tér " "felújított" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA "20 000 Ft/hó"
"9" "39.9" "68" "2" " 8. kerület, József körút " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "2 m²" NA "20 000 Ft/hó"
"10" "34.9" "56" "2" " 13. kerület, Róbert Károly körút " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" NA "részt vett" NA
"11" "28.6" "41" "1" " 14. kerület, Kerékgyártó utca " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "kelet" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "3 m²" NA "15 000 Ft/hó"
"12" "16.9" "14" "1" " 13. kerület, Kresz Géza utca " "felújított" "nincs megadva" "nincs megadva" "földszint" "5" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "65" "82" "3" " 14. kerület, Locsei út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "14 m²" NA NA
"14" "49.9" "40" "1" " 8. kerület, Ciprus utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "egy helyiségben" "dél" "kertre nézo" "igen" "penthouse" "utca, közterület - fizetos övezet" "2001-2010 között" "110 m²" NA NA
"15" "46.9" "47" "2" " 3. kerület, Pacsirtamezo utca " "újszeru" "nincs megadva" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "nincs megadva" "2001-2010 között" NA NA NA
"16" "165" "90" "2" " 1. kerület, Bem rakpart " "felújított" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA "24 000 Ft/hó"
"17" "22.2" "35" "1" " 15. kerület, Nyírpalota út " "felújítandó" "nincs megadva" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "4 m²" "részt vett" NA
"18" "37.5" "42" "3" " 7. kerület, Külso-Erzsébetváros " "felújított" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA "11 500 Ft/hó"
"19" "29.9" "29" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA "11 000 Ft/hó"
