"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely"
"1" "23" "35" "1" " 4. kerület, Závodszky Zoltán utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "27.9" "51" "2" " 17. kerület, Újlak utca " "jó állapotú" "összkomfortos" "nincs megadva" "4" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "25 000 Ft/hó" "igen" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1981-2000 között" "van" "2 m²"
"3" "54.8" "53" "3" " 11. kerület, Petzvál József utca " "felújított" "duplakomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "1950-1980 között" "van" "6 m²"
"4" "37.5" "53" "2" " 13. kerület, Reitter Ferenc utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "40 m²"
"5" "127.9" "68" "2" " 5. kerület, Sas utca 18. " "felújított" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "elektromos" NA "nem" "külön és egyben is" "kelet" "panorámás" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület" "1950 elott" "van" "1 m²"
"6" "27.3" "28" "1" " 11. kerület, Nagyszeben tér " "újszeru" "összkomfortos" "DD" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "5 000 Ft/hó" "igen" "egy helyiségben" "északnyugat" "panorámás" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" "1981-2000 között" "van" NA
"7" "32.5" "51" "1" " 3. kerület, Szentendrei út " "jó állapotú" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés, házközponti" NA "igen" "egy helyiségben" "dél" "nincs megadva" "nem" "nem tetotéri" "nem vett részt" "utca, közterület" "1950-1980 között" "van" "5 m²"
"8" "29.5" "50" "2" " 14. kerület, Pillangó park " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3 m²"
"9" "64.9" "87" "2" " 11. kerület, Karinthy Frigyes út " "felújított" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "van" "4 m²"
"10" "30.99" "56" "2" " 16. kerület, Gizella tér " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA NA "4 m²"
