"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "erkely" "rezsikoltseg"
"1" "52.9" "57" "3" " 11. kerület, Szentimreváros " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "48" "62" "3" " 6. kerület, Dessewffy utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"3" "42" "63" "3" " 6. kerület, Belso-Terézváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "46" "65" "2" " 11. kerület, Móricz Zsigmond körtér " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "35.5" "71" "2" " 4. kerület, Berda József utca 40. " "felújított" NA "nincs megadva" "nincs megadva" "4" "10" "van" "nincs megadva" "távfutés" "igen" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "udvari beálló" NA "nincs megadva" NA NA
"6" "18.5" "27" "1" " 9. kerület, Drégely utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "27.9" "64" "2" " 21. kerület, Nyírfa utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "4 m²" NA
"8" "63.6" "75" "2" " 8. kerület, Józsefváros – Palotanegyed " "felújított" "1950 elott" "komfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor), elektromos" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "65" "94" "4" " 20. kerület, Szakolca utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nem" "külön és egyben is" "délnyugat" "udvari" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA "17 m²" "30 000 Ft/hó"
"10" "37" "65" "3" " 11. kerület, Etele út " "közepes állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "van" "nincs megadva" "4 m²" NA
