"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "rezsikoltseg" "tetoter" "panelprogram" "legkondicionalo"
"1" "32.5" "51" "2" " 9. kerület, József Attila-lakótelep " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "dél" "utcai" "4 m²" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "29" "35" "1" " 13. kerület, Párkány utca 18. " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "utca, közterület" "5 600 Ft/hó" "nem tetotéri" "nincs megadva" NA
"3" "17.6" "32" "1" " 4. kerület, Perényi Zsigmond utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"4" "24.99" "27" "1" " 3. kerület, Vitorla utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "15 000 Ft/hó" "nincs megadva" "nincs megadva" NA
"5" "36.4" "48" "2" " 1. kerület, Aladár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "utca, közterület" NA "nem tetotéri" NA NA
"6" "32.99" "55" "2" " 3. kerület, Zab utca 3. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "8 700 Ft/hó" "nincs megadva" "nincs megadva" NA
"7" "15.3" "19" "1" " 7. kerület, Garay utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nem" "utca, közterület" NA "nem tetotéri" NA NA
"8" "200" "110" "2" " 2. kerület, Víziváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA
"9" "34.9" "73" "2.5" " 19. kerület, József Attila utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" NA
"10" "29.9" "45" "2" " 14. kerület, Öv utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "kelet" "udvari" "5 m²" "nincs megadva" "utca, közterület" "20 000 Ft/hó" "nem tetotéri" NA "nincs"
"11" "38.5" "63" "2" " 8. kerület, Rákóczi tér " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "van" "3 m vagy magasabb" "nincs megadva" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "utca, közterület - fizetos övezet" NA "nem tetotéri" NA "nincs"
"12" "29.5" "39" "1" " 9. kerület, Toronyház utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" NA NA NA NA
"13" "79" "64" "4.5" " 8. kerület, Somogyi Béla utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA
"14" "25.5" "21" "1" " 8. kerület, Somogyi Béla utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "dél" "udvari" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA
"15" "60" "63" "2" " 8. kerület, József körút " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA
"16" "34.9" "53" "2" " 4. kerület, Újpesti lakótelep " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "utca, közterület - ingyenes" "20 000 Ft/hó" "nem tetotéri" "nincs megadva" "nincs"
"17" "35" "53" "2" " 11. kerület, Sáfrány utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" "nincs megadva" NA
"18" "22.3" "26" "1" " 14. kerület, Utász utca " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "udvari" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA
"19" "67.5" "68" "2" " 6. kerület, Belso-Terézváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "észak" "utcai" "4 m²" "nincs megadva" "nincs megadva" NA "nem tetotéri" NA NA
"20" "53" "67" "3" " 3. kerület, Malomkerék utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nincs megadva" NA "nem tetotéri" "nincs megadva" NA
